id,sentiment,quote_sentiment,tone(general),text
19,Positive,Positive,Positive,@realDonaldTrump CNN #GOPDebate moments away. Go Trump! TRUMP 2016!
20,Positive,Positive,Negative,RT @WayneDupreeShow: Caller 1 from SW Virginia - I am insulted by anti-Trump supporters Call in ? 202 470 6738 https://t.co/cSgpDM32HO #T…
21,Positive,Positive,Negative,RT @immigrant4trump: MSM always showing Trump Protesters  but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…
22,Negative,Negative,Negative,RT @ACBadBeat: Der Furher #Trump has not yet tweeted today. Maybe he's studying for #GOPDebate at #TrumpUniversity (Idiot!) #NeverTrump
23,Positive,Positive,Positive,RT @WayneDupreeShow: Caller 5  from NY- I voted for Bill Clinton   now I am switching to Trump Call in ? 202 470 6738 https://t.co/cSgpDM…
24,Negative,Negative,Negative,RT @c314smiley: Trump's modeling agency broke immigration laws   attorneys say https://t.co/YqC1MbuYZR via @CNNMoney  #NeverTrump #GOPdebate
25,Negative,Negative,Negative,#GOPDebate Carly is a liar--Trump supporters are not smart.
26,Negative,Negative,Negative,RT @JasonBBenham: The saddest part of the #GOPDebate  is that no matter how childish #Trump gets many people are loving every minute of it.
27,Neutral,Neutral,Negative,CNN: We're not biased for Trump! But you have to admire… Not that I like him but… How dare you say we're perpetuating Trump! #GOPDebate
28,Negative,Negative,Negative,RT @KinielCat: Trump cannot stand still during the moment of silence for Nancy Reagan. He may ACTUALLY be a 1st grader. #GOPDebate
29,Negative,Negative,Negative,Trump is the kind of guy that would treat his house elf poorly. #GOPDebate
30,Positive,Positive,Neutral,RT @immigrant4trump: ?Trump = ACCOMPLISHED BUSINESSMAN ?Hillary= ACCOMPLISHED CRIMINAL ?https://t.co/CnYQ1FC8KF …  #Trump2016 #GopDebate htt…
31,Positive,Positive,Negative,RT @immigrant4trump: MSM always showing Trump Protesters  but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…
32,Negative,Negative,Positive,If I were funnier I would be Donald Trump. #GOPDebate
33,Neutral,Neutral,Positive,#GOPDebate  Totally in heaven with BOTH @secupp  AND @kayleighmcenany  in bright red   sparring brilliantly over Trump's virtues & vices. mm!
34,Negative,Negative,Negative,What's the difference between @realDonaldTrump and Hitler? We can stop Trump before it is too late. Go out and vote #GOPDebate #vote #trump
35,Neutral,Neutral,Positive,"All this pre-debate talk about ""Trump Steaks"" really makes me want steak... #GOPDebate #CNNDebate"
36,Negative,Negative,Negative,RT @OccupyWallStNYC: All evidence suggests the Trump campaign is lying about manhandling a reporter #GOPDebate https://t.co/sBgmYtKRMg http…
37,Positive,Positive,Positive,RT @USAforTrump2016: CNN Republican Debate TONIGHT! 8:30pm! Tune in and support @realDonaldTrump #TrumpTrain #TeamTrump #Trump #GOPDebate #…
38,Negative,Negative,Negative,Maybe we will be lucky and Trump will talk about his weiner again tonight. #GOPDebate #CNNDebate
39,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
40,Neutral,Neutral,Neutral,"Yup ... CNN just used a @HouseofCards quote ahead of #GOPDebate re: Trump. ""Public opinion doesn't have a law degree."""
41,Positive,Positive,Negative,RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…
42,Positive,Positive,Positive,Bottom line   Trump won Michigan by over 160K votes! No glory in 2nd or 3rd in a 3 1/2 man race! #GOPdebate  https://t.co/tUpmtUMMx1
43,Negative,Negative,Negative,RT @awzurcher: Who is going to take a metaphorical bat to Trump tonight at the #GOPDebate in Florida? https://t.co/RzhY0LzyiM
44,Neutral,Neutral,Negative,All out war tonight on the #GOPDebate.CNN is VERY biased and favors the DNC. Trump will be attacked. No relevant questions   just biased crap
45,Neutral,Neutral,Neutral,RT @livenewscloud: Who is your choice for President of the United States? #Election2016 #GOPDebate #Trump #HillaryClinton #FeelTheBern
46,Positive,Positive,Positive,RT @WayneDupreeShow: Caller 5  from NY- I voted for Bill Clinton   now I am switching to Trump Call in ? 202 470 6738 https://t.co/cSgpDM…
47,Positive,Positive,Neutral,RT @immigrant4trump: ?Trump = ACCOMPLISHED BUSINESSMAN ?Hillary= ACCOMPLISHED CRIMINAL ?https://t.co/CnYQ1FC8KF  #Trump2016 #GopDebate htt…
48,Negative,Negative,Negative,OHHHH Anderson....you could broadcast Bernie or Hillary but you don't. You have TRUMP on b/c of the FECES THROWING he provides #GOPDebate
49,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
50,Neutral,Neutral,Neutral,RT @scottienhughes: Serious last night but smiling as today is #GOPDebate day Miami! Will #Trump get 2 talk policy? @wolfblitzer @CNN https…
51,Negative,Negative,Negative,#Trump is moving like an old man. #GOPDebate
52,Negative,Negative,Negative,RT @VickiGP1: …Malignant And Psychopathic… Donald Trump? Expert Studies 600 Hours Of #Trump Footage #GOPDebate #FLPrimary   https://t.co/Im…
53,Negative,Negative,Negative,RT @Saint_Obama: So in Donald Trump's world it's ok to harass & bruise reporters because you think they are not friendly to your campaign? 
54,Positive,Positive,Negative,RT @ChristiChat: Shame on #MittRomney! His actions made his wife look like an ass #Trump2016 #GOPDebate #TCOT https://t.co/KMH8N09MkT
55,Neutral,Neutral,Neutral,RT @darth: candidates all backstage feasting on trump steaks and drinking trump wine rn #GOPDebate
56,Negative,Negative,Negative,"RT @JessicaChasmar: Whether the ""yank"" happened or not   #Trump has condoned violence at his rallies and needs to be confronted on it tonigh…"
57,Negative,Negative,Negative,So in Donald Trump's world it's ok to harass & bruise reporters because you think they are not friendly to your campaign? Really? #GOPdebate
58,Negative,Negative,Negative,RT @whignewtons: Trump only candidate who doesn't bow his head or close his eyes for moment of silence for Nancy Reagan. #GOPDebate
59,Positive,Positive,Positive,Donald Trump will destroy the competition tonight in the #GOPDebate on @CNN . Its obvious that he is the nominee okay @MittRomney
60,Positive,Positive,Neutral,RT @nepafortrump: @DanScavino @realDonaldTrump GET YOUR TICKETS (VIP Seating SOLD OUT) #GOPDebate #TeamTrumpPA https://t.co/cAjemldxaM http…
61,Negative,Negative,Negative,RT @tgradous: #Trump Has The Lowest Favorability Ratings EVER For a Frontrunner https://t.co/HDXsoYyS5o… #GOPDebate #NeverTrump https://t.c…
62,Negative,Negative,Negative,RT @Terrence_CFP: Video: Black Man Punched In Face At #Trump Rally https://t.co/m5txOWWIDr via @thinkprogress #GOPDebate
63,Negative,Negative,Negative,#GOPDebate Trump's or Drumph's rallies are getting way to alike with what went on in Nuremberg!
64,Neutral,Neutral,Negative,Trump is already pissed. #GOPDebate
65,Negative,Negative,Negative,What are the odds Trump shows up for tonight's #GOPDebate as a hundred foot hologram on a throne?
66,Negative,Negative,Negative,RT @GottaLaff: #GOPDebate Moment of silence for Nancy Reagan: #Trump kept his eyes open   saw others had theirs closed   closed his   opened t…
67,Positive,Positive,Positive,RT @WayneDupreeShow: Caller 5  from Pittsburgh -Close to 50K have switched to GOP to support Trump Call in ? 202 470 6738 https://t.co/cS…
68,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
69,Negative,Negative,Negative,RT @igorvolsky: Trump vows to repeal Obamacare   which means 129 million Americans with pre-existing conditions could lose their coverage #G…
70,Negative,Negative,Negative,RT @MissMandi00: Should we take bets on which #Trump shows up tonight? The milder version or the whiney   got his panties in a knot version!…
71,Neutral,Neutral,Negative,RT @mVespa1: So   is anyone going to ask Trump about this tonight? https://t.co/DsS6uQCnAi #tcot #GOPdebate
72,,,,RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw
73,Negative,Negative,Neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
74,Negative,Negative,Negative,RT @VickiGP1: Donald #Trump broke anti-discrimination laws to keep a mob boss gambling at his casinos   fined #200  000 #GOPDebate  https://t…
75,Positive,Positive,Neutral,RT @cheapshot89: Cartoon of the Day 3/4/16: #GOPDebate #Trump2016 #Trump #GOP @realDonaldTrump https://t.co/cOPhHhE9NO
76,Negative,Negative,Neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
77,Negative,Negative,Negative,Trump opened his eyes in the middle of the moment of silence.  REAGAN HATER CONFIRMED.  #GOPDebate
78,Negative,Negative,Negative,RT @AllyGeighter: Not watching this one. Can't stand sound of Trump's little voice coming out of that little fish mouth as he waves his tin…
79,Positive,Positive,Positive,"RT @immigrant4trump: Florida Vote For Trump ""March 15"" #FLPrimary #FloridaPrimary #Trump2016 #GOPDebate #AlwaysTrump Watch Video: https://t…"
80,Positive,Positive,Neutral,So RNC is embracing Trump's inevitability? Priebus stating lets agree whoever the nominee is   we all support him. #GOPDebate
81,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
82,Negative,Negative,Negative,"RT @JamesPindell: Just heard @JohnKingCNN say ""enormous steaks."" I guess we are still talking about Trump products #GOPDebate"
83,Negative,Negative,Negative,RT @jiadarola: If they want to one up all the dick talk from the last #GOPDebate we're gonna need info on Trump's taint.
84,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
85,Positive,Positive,Positive,Donald Trump is literally inspiring heavy drug users to get clean #GOPDebate #TrumpTrain  https://t.co/iUrcgq2zkw
86,Negative,Negative,Negative,Trump cannot stand still during the moment of silence for Nancy Reagan. He may ACTUALLY be a 1st grader. #GOPDebate
87,Positive,Positive,Neutral,"Republican debate is NOT ""breaking news  "" CNN. Make Trump news media's president   and then we get who we want. #trdebates #GOPDebate"
88,Positive,Positive,Positive,RT @DbSassssa: Donald Trump is unstoppable #VoteTrump #GOPDebate https://t.co/5NOKsVnseR
89,Neutral,Positive,Negative,RT @ameripundit: So   who has the stomach to watch another Trump-bashing cage match tonight? 8:30 EST CNN  #GOPDebate https://t.co/oyxNz4G4Xa
90,Negative,Negative,Negative,RT @AnyoneButDTrump: Trump's strategy for the #GOPDebate tonight: https://t.co/mNAobeY7d9
91,Neutral,Neutral,Negative,RT @WayneDupreeShow: Caller 24 from ARK  - CAIR news conf today was establishment hit on Trump Call in ? 202 470 6738 https://t.co/cSgpDM…
92,Neutral,Neutral,Neutral,The Real Donald Trump #GOPDebate #FloridaPrimary #Florida  https://t.co/8h4xI78FYF
93,Negative,Negative,Negative,Crazy stupid Racist trump supporters compilation @youTube https://t.co/pOeNeZXW5A @realDonaldTrump Koolaid Drinker #GOPdebate #CNN #MTV
94,Positive,Positive,Positive,RT @Trump2016Donald: Trump signs EVERYWHERE in Ohio! #OHPrimary #OhioPrimary #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #GOPDebate https…
95,Negative,Negative,Negative,RT @9a1e6c8a99984e2: Not A Single One Of @realDonaldTrump 75 Statements Fact Checked Hey  #Trump Stop Lying Man ! #GOPDebate ? #DemDebate h…
96,Positive,Positive,Positive,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…"
97,Neutral,Neutral,Neutral,RT @scottienhughes: Serious last night but smiling as today is #GOPDebate day Miami! Will #Trump get 2 talk policy? @wolfblitzer @CNN https…
98,Neutral,Neutral,Negative,Back-to-back Anti-Trump ads? Where was this in 2015? #GOPDebate
99,Positive,Positive,Positive,RT @USAforTrump2016: CNN Republican Debate TONIGHT! 8:30pm! Tune in and support @realDonaldTrump #TrumpTrain #TeamTrump #Trump #GOPDebate #…
100,Negative,Negative,Neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
101,Negative,Negative,Negative,If Trump is the nominee    I know a lot of folks    including myself    that will LEAVE the GOP to become independents!! #GOPDebate
102,,,,RT @immigrant4trump: MSM always showing Trump Protesters  but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…
103,Negative,Negative,Negative,RT @jiadarola: So is Donald Trump going to pay for that racist's court costs? #GOPDebate
104,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
105,Positive,Positive,Negative,RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…
106,Positive,Positive,Positive,RT @WesleyRickard: Representative Jim Carns AL Endorses Donald J Trump for President of the United #FL #GOPDebate #OH #IL #CPAC #ccot https…
107,Negative,Negative,Negative,RT @toddstarnes: In fairness Trump may have thought the other candidates were bowing their heads out of reverence to him. #GOPDebate
108,Negative,Negative,Negative,RT @ACBadBeat: Der Furher #Trump has not yet tweeted today. Maybe he's studying for #GOPDebate at #TrumpUniversity (Idiot!)  #NeverTrump
109,Negative,Negative,Negative,RT @NumbersMuncher: Jake Tapper currently explaining the rules of the #GOPDebate as if anyone is going to make sure Donald Trump actually h…
110,Positive,Positive,Positive,RT @voteTrumpyes: It's almost Time for the #GOPDebate!! Donald Trump will have a Great Night!! #VoteTrump https://t.co/twBuToDKkO
111,Positive,Positive,Negative,GOP chairman takes all the teeth out of any trump criticism before the debate even starts #GOPDebate
112,Negative,Negative,Negative,Trump talked about his genitalia in the last #GOPDebate. I wonder what's gonna happen tonight
113,Neutral,Neutral,Neutral,Watching tonight's #GOPDebate? Hear what Trump's AZ campaign chairman said about ISIS/U.S.-Mexico border... https://t.co/NZbROjqN5C #abc15
114,Negative,Negative,Negative,RT @VickiGP1: Donald #Trump broke anti-discrimination laws to keep a mob boss gambling at his casinos   fined #200  000 #GOPDebate  https://t…
115,Negative,Negative,Negative,Trump should be asked if he will fire his campaign manager in the #GOPDebate
116,Negative,Negative,Negative,The Buck Stops . . . Over There. Like Obama   Trump Always Blames Others. https://t.co/7FPYw9PVtM #gopdebate
117,Negative,Negative,Negative,RT @WomanVote: #GOPDebate @thehill #Trump has a pattern of HATE! #GOP #No2KKK #FireWallHate #USlatino #BlackVote #Youth Response -> https:/…
118,Negative,Negative,Negative,I will not support Donald Trump. Sorry not sorry @Reince #GOPDebate
119,Negative,Negative,Negative,How many times will TRUMP TALK ABOUT HIS DICK SIZE????  #GOPDebate
120,Negative,Negative,Negative,"RT @eScarry: Anderson Cooper says there are ""Enormous steaks"" tonight   presumably referring to Trump Steaks. #GOPDebate"
121,Negative,Negative,Neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
122,Positive,Positive,Positive,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…"
123,Positive,Positive,Negative,"RT @Veteran4Trump: Herschel Walker - Shut Up to @MittRomney ... You're a Loser!  ""Trump will save America"" https://t.co/z2l0QNxhBw #AlwaysT…"
124,Positive,Positive,Negative,@realDonaldTrump STRATEGY 4 2Nites debate: BE VERY PRESIDENTIAL&DEBATE ON ISSUES! Don't stoop to their level or take bait. #TRUMP #GOPDEBATE
125,Negative,Negative,Negative,RT @pattonoswalt: Six minutes. Six minutes. Six minutes   Douch-ey Trump   you're on. #GOPDebate
126,Negative,Negative,Negative,RT @tgradous: Donald Trump Stiffed Casio Builders While Spending ?1 Million https://t.co/jKq6e5WJ6f #GOPDebate #NeverTrump https://t.co/uw…
127,Neutral,Neutral,Negative,RT @Ward4Anderson: According to a recent report #Republicans contribute to veterans suicides! @SpeakerRyan #Trump #GOPDebate  https://t.co/…
128,Positive,Positive,Negative,I don't believe a word #Reince has to say #Trump has been loyal to his pledge #GOP has betrayed us!#GOPDebate #CNN https://t.co/4T6wYTKae4
129,Positive,Positive,Negative,RT @RedheadAndRight: Trump must be thinking   not another meaningless   biased debate. Mr. Trump   we feel for you. #GOPDebate @realDonaldTrump
130,Negative,Negative,Negative,RT @KyleKulinski: The comically ignorant Trump supporter who called the KKK a 'leftist terrorist organization' is still on CNN. #GOPDebate
131,Negative,Negative,Negative,It's hard to talk to Trump on the issues #CNN... He doesn't have any substantial ones. #GOPDebate
132,Positive,Positive,Positive,RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo…
133,Positive,Positive,Positive,RT @Chamberlain1973: Bush Family Member Endorses #TedCruz! #FLPrimary #ILPrimary #MOPrimary #NCPrimary #OHPrimary #GOPDebate #VOAV https://…
134,Negative,Negative,Negative,RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?
135,Positive,Positive,Positive,RT @Chamberlain1973: Bush Family Member Endorses #TedCruz! #FLPrimary #ILPrimary #MOPrimary #NCPrimary #OHPrimary #GOPDebate #VOAV  https:/…
136,Positive,Positive,Positive,RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo…
137,Negative,Negative,Negative,RT @Notnow71: Even though Cruz looks & sounds like Jim Jones nobody drinks his kool aid except for the zealots #GOPDebate  https://t.co/flr…
138,Positive,Positive,Positive,My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/zPgA1X7ko1
139,Negative,Negative,Negative,#Disturbing!!!! Watch Ted Cruz coach his family through a campaign ad shoot. #CruzCrew #TedCruz #GOPDebate https://t.co/MJHmfDgudG
140,Negative,Negative,Negative,RT @ImAmandaNelson: Hi Mr. Cruz when you're elected are the Handmaids going to be required to wear red because that clashes with my complex…
141,Positive,Positive,Positive,RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt…
142,Positive,Positive,Positive,RT @Dannerism: TONIGHT: Cruz missile vs Bronx cheerleader #GOPDebate .@qnoftherealm @zoumrouda @tracieeeeee @RedNationRising @RNRTexas @ate…
143,Positive,Positive,Positive,RT @TFinn82: Thing with watching Cruz debate   I never worry that he'll say something stupid. :) #GOPDebate
144,Negative,Negative,Negative,RT @NARAL: Ted Cruz has touted his commitment to the Constitution   but wants to deny women their constitutional right to an abortion. #GOPD…
145,Negative,Negative,Negative,RT @ImAmandaNelson: Hi Mr. Cruz when you're elected are the Handmaids going to be required to wear red because that clashes with my complex…
146,Positive,Positive,Positive,RT @Elisabeth242: Looks like Ted Cruz Is BEST!! #GOPDebate https://t.co/zBWqGsJIKR
147,Negative,Negative,Negative,RT @TheDailyEdge: Ted Cruz: I will defend your rights to discriminate against gays. Gays are the real terrorists #GOPDebate https://t.co/di…
148,Negative,Negative,Negative,Why no Canadian national anthem for Ted Cruz tho? ???????? #GOPDebate
149,Neutral,Neutral,Neutral,RT @ReutersLive: LIVE: Ted Cruz campaigns in Miami ahead of #GOPDebate. https://t.co/CCjw12RrUm https://t.co/zAJjgPe0zG
150,Negative,Negative,Negative,#GOPDebate Cruz said everything but the 47%
151,Positive,Positive,Positive,RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt…
152,Positive,Positive,Positive,"RT @weeklystandard: .@tedcruz says Americans ""are interested in solutions   not slogans."" https://t.co/bWrSUaTm9q #gopdebate https://t.co/SU…"
153,Positive,Positive,Positive,RT @peddoc63: My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/…
154,Negative,Negative,Negative,RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?
155,Neutral,Neutral,Negative,#GOPDebate Forina pushing the VAT pushing Cruz. Both a corporation wrecker. Look at that Face. Follow her over a cliff at your own risk
156,Negative,Negative,Negative,RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?
157,Negative,Negative,Negative,RT @Liampcahill: When I hear Ted Cruz talk #GOPDebate https://t.co/z87Hw7eb4L
158,Negative,Negative,Negative,RT @N1K0LAK1: #Disturbing!!!! Watch Ted Cruz coach his family through a campaign ad shoot. #CruzCrew #TedCruz #GOPDebate https://t.co/MJHmf…
159,Neutral,Neutral,Neutral,RT @ReutersLive: LIVE: Ted Cruz campaigns in Miami ahead of #GOPDebate. https://t.co/CCjw12RrUm https://t.co/zAJjgPe0zG
160,Positive,Positive,Negative,This show of patriotism opening the #gopdebate seems weird considering these candidates (except maybe Kasich)
161,Positive,Positive,Positive,RT @JohnKasich: There's no substitute for nat'l security experience in a Commander-in-Chief. Gov Kasich has 18 yrs of it. #GOPDebate https:…
162,Negative,Negative,Negative,RT @NBCNews: The Lid: Can @JohnKasich handle the heat at tonight's #GOPDebate?https://t.co/1JJgdmguwP https://t.co/F3yVtHqmOL
163,Negative,Negative,Negative,Kasich's heart is dropping a little low ? #GOPDebate
164,Positive,Positive,Positive,Kasich has a good chance to secure the nomination tonight. #GOPDebate
165,Neutral,Neutral,Neutral,Kasich got a hair cut. #GOPDebate
166,Neutral,Neutral,Negative,RT @KyleKulinski: Without Anderson Cooper hosting how will I know which Pokemon is Kasich's favorite? #GOPDebate
167,Neutral,Neutral,Neutral,RT @bpolitics: Here's a closer look at John Kasich's resume https://t.co/U9BjXk71zw #GOPDebate
168,Neutral,Neutral,Neutral,@KrystalPistolKP maybe #Kasich will become more aggressive tonight  #GOPDebate
169,Positive,Positive,Negative,Is #Kasich going to be designated driver again tonight? #GOPDebate
170,Positive,Positive,Positive,4 reasons Kasich wins the #GOP nomination https://t.co/PezQI7FyOT #GOPDebate
171,Negative,Negative,Negative,RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. #GOPdebate #FLprimary https://t.…
172,Negative,Negative,Negative,RT @sueinphilly: This will be the last time we see Rubio at #GOPDebate Bye #inners
173,Positive,Positive,Positive,@marcorubio just needs to be Marco Rubio in the debate tonight   be the person everyone knows. ##GOPDebate
174,Neutral,Neutral,Neutral,Just googled Rubio's Bio   if he doesn't win Florida   he will be gone for sure. #GOPDebate
175,Negative,Negative,Negative,RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. #GOPdebate #FLprimary https://t.…
176,Positive,Positive,Positive,RT @FiveThirtyEight: It hasn't done him much good   but Rubio has a clear lead in endorsements. https://t.co/4Xuserzcmv #GOPDebate
177,Negative,Negative,Negative,"RT @KyleKulinski: Anderson Cooper just said it's ""make or break   do or die"" for Marco Rubio tonight. No   that was like a month ago. Already…"
178,Negative,Negative,Negative,RT @tedbishop38pga: @CNN Marco Rubio only candidate who shook no one's hand. #GOPDebate
179,Negative,Negative,Negative,Rubio I'm really sorry I made the Donald mad -- please forgive me   please   please   please #GOPDebate @marcorubio  https://t.co/XaBRkSKKki
180,Positive,Positive,Positive,The crowd seems to be mildly pro-Rubio #GOPDebate
181,Negative,Negative,Negative,business: RT BloombergTV: How MarcoRubio became Florida's not-so-favorite son https://t.co/fMEeEaWpdM #GOPdebate https://t.co/PmY6ZqmMze
182,Positive,Positive,Neutral,Rubio gets by far the loudest cheer here at the Univ of Miami. Not surprising considering this is his backyard. #GOPdebate
183,Neutral,Positive,Neutral,RT @marcorubio: Get ready Hialeah: come rally w/ me tonight before the next #GOPDebate! Space is limited   RSVP now: https://t.co/FlA1DB4H3S…
184,Negative,Negative,Negative,"RT @sierraclub: ICYMI: Newsweek -- ""South Florida Is Sinking. Where Is Marco Rubio?"" https://t.co/A2Nq2vRcWr | #GOPDebate | Answer: AWOL"
185,Negative,Negative,Negative,"RT @LawlessPirate: Rubio is like   ""what am I even doing up here?"" #GOPDebate"
186,Positive,Positive,Positive,RT @guypbenson: Rubio crowd in South Florida. #GOPDebate
187,Negative,Negative,Negative,RT @MDGallar: Rubio's campaign is so impulsive it's hard to describe   but I think this sums up his strategy. #GOPdebate #FLprimary https://…
188,Negative,Negative,Negative,In tonight's #GOPDebate I look for the following. Rubio's desperate engagement of all three other candidates.... https://t.co/wzbiFqzOJg
189,Neutral,Neutral,Neutral,We're live today at the University of Miami. Next we talk w/ Rubio supporter @NinoskaPerezC on tonight's #GOPDebate https://t.co/Zkrz5LZnb8
