id,sentiment,quote_sentiment,tone,text,,
64,Neutral,Negative,Negative,RT @pollreport: PRESIDENT Hillary Clinton (D) 51% Donald Trump (R) 38% (NBC/WSJ Poll, RV, 3/3-6) Details & trend: https://t.co/v6fZ17B6VJ #…
65,Neutral,Neutral,Negative,"RT @nypost: Cruz: ""Donald  you are welcome to be president of the Smithsonian...."" #GOPDebate https://t.co/bi25U9Q46b",,
66,Negative,Negative,Negative,RT @ajplus: #GOPDebate: Trump says most Muslims hate America. @sbarakat210 says this kind of rhetoric provokes violence: https://t.co/w47…,,
67,Positive,Positive,Positive,Me and arthur are rooting for you @realDonaldTrump @arthurallen34 #trump #election #GOPDebate,,
68,Negative,Negative,Negative,"RT @SteveVaughn: If you don't like Donald Trump's stand on an issue  wait about a half hour. It will change. #CNNDebate #GOPDebate",,
69,Negative,Negative,Negative,Ted Cruz was a rabid dog tonight. Not exactly words that anyone would cross over to him for. His insults and lies were desperate. #GOPDebate,,
70,Negative,Negative,Negative,RT @Shooters_Wife: .@glennbeck: Regarding Cuba: There is no principle that Donald Trump isn't willing to violate. #GOPDebate #CharacterMa…,,
71,Neutral,Positive,Positive,"RT @BigHoner: Trump: we have to knock out ISIS  knock them out fast  then get back home and rebuild our country because it is falling apart…",,
72,Negative,Negative,Negative,RT @KLSouth: #Cruz's lies appear pathological. At #GOPdebate he said he didn't want a contested convention. Here's the truth. https://t.co/…,,
73,Negative,Negative,Negative,RT @bi_politics: . @realDonaldTrump addresses his most recent controversy. #GOPDebate https://t.co/mRlVsmte7R https://t.co/E13xuQ6fPe,,
74,Negative,Negative,Negative,"RT @AdamSmith_USA: Cruz: ""My focus is on single moms."" *opposes reproductive rights* *opposes maternity care* *opposes raising the minimum…""",,
75,Neutral,Positive,Negative,RT @resurgent: Cruz: Common Core is a disaster #GOPDebate https://t.co/Mr9GAqFjEf,,
76,Neutral,Neutral,Neutral,RT @JordanDoww: An important message from Donald Trump #GOPDebate https://t.co/JwOWXkwV0f,,
77,Negative,Negative,Negative,"RT @CatholicDems: Yes  #Trump  the most effective way to combat hate is to perpetuate stereotypes & xenophobia #GOPDebate",,
78,Neutral,Neutral,Negative,The Republican Debate In Miami: A Tame Trump Makes For Lame TV. https://t.co/hxmKh1eRpy #GOPDebate #Scandal https://t.co/pUIHc6D4S1,,
79,Positive,Positive,Negative,RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…,,
80,Positive,Positive,Positive,"RT @ACSpollen: Lol. Cruz just trolled Coulter  and it was beautiful. #GOPDebate",,
81,Negative,Negative,Negative,RT @magnifier661: Wow! Look at how many Didn't want #LyingTed Cruz #GOPDebate  https://t.co/GBCw0JxKdq,,
82,Negative,Negative,Negative,RT @ajenable: Trump was wrong about trade! You can't punish Americans by putting a 45% tariff on imports. #NeverTrump #GOPDebate,,
83,Neutral,Neutral,Negative,RT @DefendingtheUSA: #GlennBeck must HATE seeing Trump EVEN WINNING his BLAZE poll. VOTE HERE -->https://t.co/vHZOusNhr1 #GOPDebate https:/…,,
84,Negative,Negative,Negative,RT @RadioFreeTom: Trump reassuring our allies that he'll be worse than Obama. #GOPDebate,,
85,Positive,Positive,Positive,Vote now: Who won the twelfth Republican debate? #GOPDebate https://t.co/bVUkTeh31Y via @TIMEPolitics Trump won again see for yourself,,
86,Neutral,Positive,Negative,"RT @larryelder: ""There's a lot of hatred."" #NAME? Terrorist Groups Intensify Targeting of Children for Jihad https://t.co/GqqGuu…",,
87,Positive,Positive,Positive,RT @MattMackowiak: Excellent closing statement from Cruz. #GOPDebate,,
88,Negative,Negative,Negative,https://t.co/brVLp4doP2 VIDEO: After praising 'civility': We all know that Trump was faki... https://t.co/Q17J4tzQS4 https://t.co/brVLp4doP2,,
89,Negative,Negative,Negative,"RT @KenPlume: You can't shame a man with no shame  nor trap an illogical man with logic. You can't talk sane to crazy. Trump is bulletproof…",,
90,Positive,Positive,Positive,"Cruz with the slick burrrrrrrn  although why did he pull back from ""son of a billionaire""? #GOPDebate",,
91,Neutral,Positive,Positive,"RT @FoxNews: Trump: ""We should pay our respects to the police because they are taking tremendous abuse... & they do a phenomenal job."" #GOP…",,
92,Positive,Positive,Negative,"RT @WDFx2EU: HEY @BreitbartNews  go tell #RobertMercer to fuck himself  from yours truly and the rest of the millions of #Trump supporters …",,
93,Negative,Negative,Negative,RT @Politics_PR: Wow Trump's social security plan is just clueless #GOPDebate https://t.co/60nUxMUvLy,,
94,Positive,Positive,Negative,"RT @larryelder: Trump's asked about ""tone"" that's caused violence. Dems aren't asked about their anti-cop rhetoric and anti-cop riots/looti…",,
95,Neutral,Positive,Negative,"RT @FoxNews: Trump: ""I used to think Merkel was a great leader until she did what she did to Germany. Germany is a disaster right now."" #GO…",,
96,Negative,Negative,Negative,Trump will be good to American worker #GOPDebate #republican primary voters love reality #i rode a unicorn to fight a dragon,,
97,Negative,Negative,Negative,"RT @KLSouth: Palin: GOP Majority Voters in Primary are Wayyyyyy Beneath #Cruz  So Says Cruz. https://t.co/Psrma4i9b9 #GOPDebate #CNNDebate …",,
98,Positive,Positive,Positive,RT @FrankLuntz: Donald Trump is having his best #GOPDebate of the season so far. He's answering questions directly, calmly, and… president…
99,Positive,Positive,Positive,RT @bstein80: Great Cruz point on Israel/Palestinians. Strong. #GOPDebate,,
100,Positive,Positive,Negative,"RT @Veteran4Trump: Donald Trump: If we don't have borders  if we don't have strength  we are not a country."" #GOPDebate #Trump2016 https://…",,
101,Positive,Positive,Negative,RT @saraelvin: Your attempt to bash #TRUMP failed he wins no matter what! #GOPDebate #tcot #CCOT #AlwaysTrump https://t.co/4vWuQwXL7x,,
102,Positive,Positive,Positive,"Trump's closing argument is all general election  all day. #GOPDebate",,
103,Positive,Positive,Positive,RT @DaystoTrump: 242 #DaysToTrump : Counting down to the election in November! #Trump2016 #Trump #GOPDebate #MakeAmericaGreatAgain https://…,,
104,Neutral,Neutral,Neutral,RT @FrankLuntz: An uncharacteristically subdued #GOPDebate audience tonight. Listen to that quiet after a Donald Trump response to Ted Cru…,,
105,Negative,Negative,Negative,"RT @myfeetonfleek: Grammar Lesson for Donald Trump & the World: It is NEVER ""people that"" People are ""who"". Things/Places/Objects are ""that…",,
106,Neutral,Positive,Neutral,"RT @thehill: Trump: GOP establishment ""should embrace what's happening"" https://t.co/4Eq8DijzPa #GOPdebate https://t.co/34lwgiZW0N",,
107,Negative,Negative,Negative,RT @GeneralNikkiX: #GOPDebate: Damn Devils Like Donald Trump Play Super Dumb When They Want To .. While Touting How Smart They Are. https:…,,
108,Negative,Negative,Negative,"RT @BettyBowers: When Trump blows Putin a wet kiss and slams Obama  GOP audience goes wild. You know  because they love America and are pat…",,
109,Negative,Negative,Negative,RT @mohammedzismail: Lord. Give. Me. Strength. A Trump supporter sucker punches a protester. Trump responds We have protesters who are b…,,
110,Negative,Negative,Negative,"RT @ConstitutionCop: Trump just told all of us he's perfectly fine allowing Social Security to bankrupt us. He said it  not me. Talk to him…",,
111,Neutral,Negative,Neutral,"RT @Ted_Newton: Most recently  CNN poll has Clinton defeating Trump 52-44. https://t.co/7majv50t6H #GOPDebate #NeverTrump",,
112,Neutral,Positive,Positive,"RT @FoxNews: .@krauthammer on Trump's #GOPDebate strategy: ""Be laid back  be presidential...stay in cruise mode  no pun intended"" https://t…",,
113,Negative,Negative,Negative,RT @PattonDivision: Scary Heidi #Cruz is an architect of the North American Union. Sachs exec. #GOPDebate #OhioPrimary #FLPrimary https://t…,,
114,Negative,Negative,Negative,"RT @DSMac27: C'mon  Bret - Trump said NOTHING of any meaning or content. #GOPDebate #KellyFile",,
115,Positive,Positive,Neutral,RT @OldRowOfficial: Trump has the only reasonable position on fighting radical Islam. #GOPDebate https://t.co/hSuig5YmY5,,
116,Positive,Positive,Positive,RT @LeCombat: Trump ends by speaking about WE THE PEOPLE. Unify! #GOPDebate,,
117,Positive,Positive,Positive,"RT @LindaSuhler: Congratulation  friends. Tonight you met President Donald Trump. America wins. #GOPDebate #Trump2016",,
118,Negative,Negative,Negative,"RT @RepublicanVzlan: The crowd chanted ""Marco ! Marco"" as Ted Cruz tried to convince them to support him #teammarco #gopdebate",,
119,Positive,Positive,Positive,RT @LindaSuhler: Trump supporters! Links to ALL the available POLLS. Speak up for our guy! #GOPDebate #Trump2016 https://t.co/fqRjpnFCsr,,
120,Negative,Negative,Negative,RT @PolitiFact: .@tedcruz said at #gopdebate he never supported TPP. Mostly True.  (He liked the idea.) https://t.co/PQHMWxwNiB https://t.c…,,
121,Negative,Negative,Negative,"RT @factcheckdotorg: Trump incorrectly referred to Common Core as …education through Washington  D.C.…  https://t.co/KaO0sahJpu #GOPDebate",,
122,Negative,Negative,Negative,"RT @ddiamond: I love that Ted Cruz … who worked for George W Bush  Texas Gov Rick Perry  and is now a senator … dismisses ""career politicia…",,
123,Positive,Positive,Negative,RT @Ricky_Vaughn99: NOW THEY ARE COPYING TRUMP ON THE VETERANS! #GOPDebate,,
124,Neutral,Neutral,Neutral,.@RealDonaldTrump claims credit for sparking #GOP turnout https://t.co/P8ESaxNRgH #GOPDebate https://t.co/UeMig8G0rT,,
125,Positive,Positive,Positive,RT @Trump2016Donald: @realDonaldTrump You did great tonight! America needs you Trump! #gopdebate… https://t.co/EU2qzvlTJo,,
126,Negative,Negative,Negative,"RT @KLSouth: I really cannot stand listening to #Cruz's overrehearsed  melodramatic flourishes as he states what he will do …on day one.…  …",,
127,Positive,Positive,Positive,"RT @gs777gs777: #Trump #GOPDebate DT is right ! ISLAM are full of hate. They all read the same Koran  their bible  & this is it... https://…",,
128,Neutral,Neutral,Neutral,"RT @CNNPolitics: Ted Cruz: ""Only two of us"" have a path to the nomination https://t.co/QxqBj67aXX #GOPDebate https://t.co/3VxU9gAFiI",,
129,Positive,Positive,Negative,RT @Lrihendry: There is no more qualified person than #Trump to fire the head of VA and other failing heads of organizations! #GOPDebate,,
130,Negative,Negative,Negative,"RT @Shooters_Wife: Trump's position on Israel  is the same kind he has when it comes to PlannedParenthood. #FenceSitter #GOPDebate #CNNDe…",,
131,Negative,Negative,Negative,Debates do more harm than good when Trump's statements go unchecked. No time to check them all either. #GOPDebate https://t.co/A23DMO16l6,,
132,Positive,Positive,Negative,RT @yobynnad1127: And again #Trump is the only one with balls to speak the truth about millions of Muslims hating America. #GOPDebate https…,,
133,Neutral,Neutral,Neutral,"RT @CNNPolitics: Donald Trump: I intend to ""leave Social Security the way it is"" https://t.co/QxqBj67aXX #GOPDebate https://t.co/Gi5v0mH6OJ",,
134,Negative,Negative,Negative,"RT @citrussage: VIDEO: After praising 'civility' of #GOPdebate  Trump turns NASTY again afterward!! https://t.co/fzVIcbFbFU",,
135,Neutral,Neutral,Neutral,"RT @kathrynw5: Ted Cruz: ""This is a job interview."" #GOPDebate",,
136,Neutral,Neutral,Negative,RT @CNN: Donald Trump defends 'raise right hand… pledge #GOPDebate https://t.co/BsRx5B3JGO https://t.co/CAxvLcoraE,,
137,Negative,Negative,Negative,RT @JesseLehrich: Wait this is an actual quote from Trump praising the Chinese for the Tiananmen Square massacre. #GOPDebate https://t.co/R…,,
138,Neutral,Positive,Negative,RT @catblackfrazier: CRUZ: We don't need a president who's Neutral between the Palestinian terrorists and our friend and ally Israel #GOPDe…,,
139,Negative,Negative,Negative,"RT @activist360: Trump says 1 thing at his fascist hate rallies & another at #GOPDebate. He's a narcissistic grifter  con man & glorified u…",,
140,Neutral,Neutral,Negative,Donald Trump stands by controversial comments about Islam https://t.co/psVvU61hV5 #GOPDebate https://t.co/TCrSlLZqtW #business,,
141,Positive,Positive,Neutral,"RT @FoxNews: .@marcthiessen on Trump in #GOPDebate: ""You might even say he was 'low energy ' but he didn't have to be high-energy...he's th…",,
142,Positive,Positive,Positive,RT @SoCal4Trump: Trump brought his A-Game tonight. Loving the debate so far! GO TRUMP!!! America needs you! #GOPDebate #AlwaysTrump https:/…,,
143,Negative,Negative,Negative,RT @HahnAmerica: Donald Trump is at war with anyone who doesn't think like he does. That's a bad sign folks. #GOPDebate #NeverTrump,,
144,Negative,Negative,Negative,RT @VOICEOFCHID: Trump is only comfortable in the gutter. Policy ain't his thing. He knows nothing! #GOPDebate,,
145,Neutral,Neutral,Negative,"RT @nypost: Donald Trump: ""Trade deals are absolutely killing our country..."" #GOPDebate https://t.co/11jwIAr5BP",,
146,Negative,Negative,Neutral,"RT @RepublicanVzlan: Marco super presidential answer on foreign policy radical islam / trump rambling words  no plan no policy just hateful…",,
147,Neutral,Positive,Neutral,"RT @meetthepress: ""Boy  what a great night for Donald Trump."" @chucktodd on Thursday's #GOPdebate. https://t.co/tiVqFi4G4B #MTPDaily https:…",,
148,Neutral,Neutral,Neutral,@brownieman19 can you add Ted Cruz to your list! #GOPDebate,,
149,Neutral,Positive,Positive,"RT @ChgocadChic: #GOPDebate Ted Cruz: We are here pledging our support to you  the American People to Preserve  Protect & Defend the Consti…",,
150,Negative,Negative,Negative,"RT @ConNewsNow: Sorry Ted Cruz  but no Marine would follow the orders of a Canadian usurper #tcot #GopDebate #CruzCrew",,
151,Negative,Negative,Negative,RT @sierraclub: Sierra Club is against Donald Trump's hateful rhetoric about muslims and immigration to the USA & we call on others to join…,,
152,Positive,Positive,Negative,RT @_HankRearden: Trump rightly doubles down on 'Islam hates us.' Because Islam does hate us. #GOPDebate,,
153,Negative,Negative,Negative,Using an earlier German political model as a template for action #trump #GOPDebate  https://t.co/xLN69p6SMI,,
154,Neutral,Neutral,Negative,RT @cnni: Trump: I wasn't endorsing China's massacre of students at Tiananmen riot https://t.co/uJ71xPwhJx https://t.co/4pm9SkLHUU #GOPDe…,,
155,Negative,Negative,Negative,"RT @MattWalshBlog: Trump promising to use taxes to make people ""behave."" But remember he's not a fascist. That's silly. #GOPDebate",,
156,Positive,Positive,Positive,RT @NYC4TRUMP2016: Trump lead growing!!!! #GOPDebate #Trump2016 #MakeAmericaGreatAgain #TrumpTrain,,
157,Positive,Positive,Negative,"RT @KenShepherd: ""I find Cruz hard to listen to..."" Do you ever listen to YOUR own voice  @hardball_Chris?! #GOPDebate #TTT16 https://t.co/…",,
158,Negative,Negative,Negative,RT @jiadarola: CNN just let Donald Trump get away with the insane lie that protesters at his rally are violent. Unconscionable. #GOPDebate,,
159,Negative,Negative,Negative,"#GOPDebate Cruz conceited  arrogant jerk.",,
160,Negative,Negative,Negative,"RT @Will_Antonin: Trump  whining: ""We're working on a different set of rules than the terrorists"" Me: Yes  you moron. It's called being Am…",,
161,Negative,Negative,Negative,"#GOPDebate  Trump's pleasant demeanor when not crossed in debate highlights Jekyll/Hyde traits  lack of stability necessary for POTUS.",,
162,Positive,Positive,Positive,"RT @immigrant4trump: Trump WON Debate! even at the Blaze! (Glenn Beck's own poll) https://t.co/x3SHoYRDia #GOPDebate #Trump2016 https://t.…""",,
163,Negative,Negative,Negative,"RT @lsarsour: Tune in tomorrow morning to @democracynow  I'll be on. Talking elections  #MuslimVote  Trump hate..... #GOPDebate",,
164,Neutral,Neutral,Negative,Fact Check: Donald Trump is no ally to Israel #GOPDebate https://t.co/4jADGtG5Of,,
165,Positive,Positive,Positive,Cruz made a joke...it was funny. #GOPDebate,,
166,Neutral,Neutral,Neutral,"RT @KristinaWebb: Hey Cruz  what about a son of a son of a sailor? Can he stand up there  too? #GOPdebate",,
167,Positive,Positive,Neutral,"RT @_HankRearden: Trump just told the truth about Islam  and that's a big reason he has my vote. #GOPDebate",,
168,Positive,Positive,Negative,#CNN is running out of substantive #GOPDebate questions. I've seen more violence at a baseball game than at a #Trump rally. Give me a break.,,
169,Neutral,Positive,Positive,"RT @AnnTelnaes: Trump: ""There's great love for this country"" #GOPDebate https://t.co/1xmNnTGULr",,
170,Negative,Negative,Negative,RT @peddoc63: Debates talking about policies show Trump's deficiencies. I'm thinking he'd rather go back to mudslinging? #GOPDebate #CNNDeb…,,
171,Positive,Positive,Positive,RT @OrigIntent: The #GOPDebate was #Trump's to lose & he didn't. It's a WIN for #Trump2016. @Lrihendry @LindaSuhler @TrumpMyPres @ColorMeR…,,
172,Negative,Negative,Negative,RT @voxdotcom: Donald Trump isn't rich because he's a great investor. He's rich because his dad was rich. https://t.co/m3bm9olFNz #GOPDebate,,
173,Negative,Negative,Negative,"RT @bendykoval: ""Government is the problem"" Oh  Cruz. Is that why you're running for a government position instead of a revolution? #GOPDeb…",,
174,Neutral,Neutral,Negative,"RT @Reuters: Trump's Islam comments draw fire from rivals  but civility reigns at #GOPDebate: https://t.co/SO7KuKmKfx https://t.co/gpNGanQM…",,
175,Negative,Negative,Negative,#GOPDebate #CNNDebate #NeverTrump These are wonderful people. ~ Trump on the x-factor HALF of his base:: https://t.co/echn0IcQwC,,
176,Negative,Negative,Negative,RT @NaturallyTEE: Cruz just sounds like he should be the pastor of a mega church #AlwaysLying  #GOPDebate,,
177,Negative,Negative,Negative,"RT @AdamSmith_USA: Cruz: ""DC isn't listening to the people."" #GOPDebate *majority of Americans support marriage equality and gun reform* …",,
178,Positive,Positive,Negative,RT @SpreadButter: I'm voting trump because he is better than anything @gop has offered us in 16 years @realDonaldTrump @FoxNews #GOPDebate …,,
179,Neutral,Negative,Neutral,RT @KLSouth: RT @TBradleyNC: Oh my. Ted Cruz would consider Jeb Bush as VP. #speechless #GOPDebate,,
180,Negative,Negative,Negative,"RT @activist360: Trump doubles down on his vile bigotry of Muslims  proving again  today's GOP is not a political party  it's a hate group.…",,
181,Negative,Negative,Negative,"RT @dcexaminer: On Twitter  Hillary Clinton slams Donald Trump for not condemning rally violence https://t.co/0ljpOWP1vi #GOPDebate https:/…",,
182,Negative,Negative,Negative,"RT @markmobility: While Trump says Muslims hate America  @IslamicRelief has been providing aid in the #FlintWaterCrisis #GOPDebate https://…",,
183,Neutral,Negative,Negative,RT @SteveRattner: Clinton crushes Trump in head to head matchups. #GOPDebate https://t.co/6EGqbBlFOf,,
184,Neutral,Neutral,Neutral,RT @AuditTheMedia: Shorter Trump: The Best Deals or No Deals #GOPDebate https://t.co/RJ7pje5DBO,,
185,Negative,Negative,Negative,"RT @ToppHogg: Mr. Muddybelly is not a candidate at #GOPDebate  but he'd give #trump a run for his #money.  https://t.co/XAnFDIQVif https://…",,
186,Negative,Negative,Negative,RT @BradThor: Donald Trump's debate answers are about as insightful as his Tweets. #GOPDebate,,
