,id,tweet_id,candidate,tweet_created,tweet_location,user_timezone,text,Yogi tie break,"dr sentiment (1=neg,3=pos,2=unclear)","wm sentiment (1=neg,3=pos,2=unclear)",predictedLabel,maxEntPrediction,maxEntProbability,svmPrediction,svmProbability,glmnetPrediction,glmnetProbability,consensusCount (R ensemble),probabilityLabel (R ensemble),consensusLabel (R ensemble),sentiment (Python lex & ensemble),"ensemble output(pos_prob, neg_prob)",lexicon output,ensemble_pos,ensemble_neg,lexicon_pos,lexicon_neu,lexicon_neg,lexicon_compound,,"""correct"" human label",lean,r ens prob,r maj vot,python ens,"questions, ideas"
10378,31624,ID708180522741071872,Donald Trump,3/11/2016 1:39,null,none,I don't know what's scarier..how little Trump knows about government or how little his voters know.  #GOPDebate,1,1,1,1,1,1,1,0.876874621,1,0.867003758,3,1,1,1,"(0.095869549671626211, 0.90413045032837347)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.095760426,0.904239574,0,1,0,0,,1,,TRUE,TRUE,TRUE,lexicon thought neutral
10880,32127,ID708145603432284164,Donald Trump,3/10/2016 23:20,"Foley, AL",none,"RT @yobynnad1127: Wow, #Trump was so on and yes he is right, millions and millions of Muslims hate America.  #GOPDebate https://t.co/Uup8mr",3,3,3,1,3,1,1,0.76113286,1,0.695210401,2,3,1,2,"(0.26573321544614142, 0.73426678455385819)","{'neg': 0.215, 'neu': 0.407, 'pos': 0.378, 'compound': 0.4215}",0.265925766,0.734074234,0.357,0.44,0.203,0.4215,,3,,TRUE,FALSE,FALSE,"?""right""?"
11060,32307,ID708220622107582464,Ted Cruz,3/11/2016 4:18,"British Columbia, Canada",none,"RT @misterdish69: #GOPDebate #Dobbs Exactly, Cruz baited him, he showed class. Although he could have mentioned all the ideas were his http",2,1,3,1,1,1,1,0.875104459,1,0.844263164,3,1,1,1,"(0.18658025387196134, 0.81341974612803758)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.186671148,0.813328852,0,1,0,0,"I did negative since it's about Cruz, not Trump",2,1,FALSE,FALSE,FALSE,lexicon got neutral right
12280,33528,ID708159232466485248,Donald Trump,3/11/2016 0:14,USA,Central Time (US & Canada),@realDonaldTrump @adriparsonss @The_Trump_Train We are voting for trump!  #MakeAmericaGreatAgain #GOPDebate #trumpWins,3,3,3,1,3,1,1,0.686704203,1,0.527898706,2,3,1,2,"(0.28839905693545465, 0.71160094306454569)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.288322938,0.711677062,0,1,0,0,,3,,TRUE,FALSE,FALSE,"lexicon ""MakeAmericanGreatAgain"", TrumpWins"
12696,33944,ID708166463467577344,Ted Cruz,3/11/2016 0:43,Sydney,none,"RT @TheDailyEdge: Cruz: ""We need to show respect to the people. Except the gays. I will carpet bomb the gays"" #CNNDebate #GOPDebate https:/",1,1,1,1,1,1,1,0.876143354,1,0.851392937,3,1,1,1,"(0.20022201110103308, 0.79977798889896745)","{'neg': 0.185, 'neu': 0.636, 'pos': 0.179, 'compound': -0.0258}",0.199751332,0.800248668,0.169,0.656,0.175,-0.0258,,1,,TRUE,TRUE,TRUE,? Gays ? Hard to see
14361,35611,ID708146565530030080,Ted Cruz,3/10/2016 23:24,null,none,"CRUZ: ""Obamacare hurts ppl on the bottom encouraging them..."" @Mellynjess @AuntLulie #GOPDebate #RBRadio https://t.co/XAxk8Jlcl8",3,1,2,1,3,1,1,0.875585831,1,0.827608316,2,3,1,2,"(0.23564545761300612, 0.76435454238699363)","{'neg': 0.248, 'neu': 0.48, 'pos': 0.272, 'compound': 0.0772}",0.235755221,0.764244779,0.272,0.48,0.248,0.0772,ok with neutral,3,,TRUE,FALSE,FALSE,humans disagreed - so neutral best bet here
15135,36386,ID708144398941327360,Donald Trump,3/10/2016 23:15,"Sugar Land, Texas",none,RT @Shooters_Wife: It seems very painful for Trump when he has to resort to using Ted's talking points on SCOTUS.  #GOPDebate #CNNDebate,1,1,1,1,1,1,1,0.847951687,1,0.834443385,3,1,1,1,"(0.30105840023228575, 0.69894159976771453)","{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",0.300918702,0.699081298,0,0.791,0.209,-0.4404,,1,,TRUE,TRUE,TRUE,Doyle - look at if all agree - how is that accuracy?
15600,36851,ID708145311537958912,Donald Trump,3/10/2016 23:19,"Tulsa, OK",Mountain Time (US & Canada),RT @karenbates: Trump says he doesn't condone violence at his rallies.  Then Tappart quotes many of his utterances encouraging violence. #G,1,1,1,1,1,1,1,0.933417544,1,0.877421656,3,1,1,3,"(0.079856180187572873, 0.92014381981242721)","{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.8746}",0.079839584,0.920160416,0.5,0.5,0,0.8746,,1,,TRUE,TRUE,FALSE,"""violence"" - why wasn't p-ensemble used here (what is ensemble's rate like?)"
16277,37529,ID708399538420236288,Donald Trump,3/11/2016 16:09,Boston Area,none,RT @GinaLiggett: #GOPDebate Trump will NOT have the delegates. Because too many Americans see how ill-equipped he is intellectually & emoti,1,1,1,1,1,0.999999998,1,0.878439917,1,0.880784801,3,1,1,2,"(0.043755866562282288, 0.95624413343771819)","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.043580253,0.956419747,0.211,0.789,0,0.34,,1,,TRUE,TRUE,FALSE,"same as above ""ill-equipped"""
17579,38832,ID708166119287234560,Donald Trump,3/11/2016 0:42,Welcome to the Velvet Room.,Athens,"RT @freedominguez: Thank you Trump for explaining racist and violent acts as ""people with love for their country"" i feel so much better now",1,1,1,1,1,1,1,0.776032016,1,0.631347615,3,1,1,2,"(0.1974028626534122, 0.80259713734658666)","{'neg': 0.31, 'neu': 0.314, 'pos': 0.376, 'compound': 0.1779}",0.197792166,0.802207834,0.362,0.34,0.298,0.1779,,1,,TRUE,TRUE,FALSE,racist and violent - p-ensemble better
18920,40175,ID708141425632776192,Donald Trump,3/10/2016 23:04,null,none,Trump: If we lose this election it will take CENTURIES to win back the SCOTUS.  This dude is such a dipshit.   #GOPDebate,1,1,1,1,1,0.999807006,1,0.802233672,1,0.813289417,3,1,1,1,"(0.26312809023069889, 0.7368719097693015)","{'neg': 0.33, 'neu': 0.455, 'pos': 0.216, 'compound': -0.25}",0.262776812,0.737223188,0.216,0.455,0.33,-0.25,,1,,TRUE,TRUE,TRUE,dipshit
19073,40328,ID708140534611611648,Donald Trump,3/10/2016 23:00,Baltimore,Eastern Time (US & Canada),RT @morningmoneyben: Who are these people offering Trump illegal campaign donations of $5 million to $10 million? #GOPDebate,1,1,1,1,1,1,1,0.894947675,1,0.850066239,3,1,1,1,"(0.051072430393894898, 0.94892756960610558)","{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.5574}",0.051038351,0.948961649,0,0.714,0.286,-0.5574,,1,,TRUE,TRUE,TRUE,p-ensemble really right
19291,40546,ID708149551119474688,Donald Trump,3/10/2016 23:36,layton utah,none,"RT @KLSouth: #Trump is correct, we own China. Where will they sell their stuff if we dont buy it? We have great leverage. #GOPDebate",3,3,3,1,1,1,1,0.827819302,1,0.692986087,3,1,1,1,"(0.17133770792605976, 0.8286622920739396)","{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.5096}",0.1704355,0.8295645,0,0.752,0.248,-0.5096,,3,,FALSE,FALSE,FALSE,?great?
19759,41015,ID708141132333449217,Ted Cruz,3/10/2016 23:02,ATL - Ann Arbor - Baltimore,Eastern Time (US & Canada),RT @ajplus: Cruz says Barack Obama's presidency has been the laughing stock of the world.  Let's think about that. #GOPDebate https://t.co/,1,1,1,1,1,1,1,0.873778272,1,0.853467294,3,1,1,2,"(0.2625955438008456, 0.73740445619915551)","{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4939}",0.262926909,0.737073091,0.225,0.775,0,0.4939,,1,,TRUE,TRUE,FALSE,p-ensemble was right
20090,41346,ID708283414110019590,Ted Cruz,3/11/2016 8:28,null,none,"RT @TeamMarcoWestPA: Ted Cruz starts inviting other candidates' supporters to join his team. The crowd starts chanting ""MAR-CO! MAR-CO! MAR",1,1,1,1,1,1,1,0.83839477,1,0.815380204,3,1,1,3,"(0.44890005871648991, 0.55109994128351092)","{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.7506}",0.448978243,0.551021757,0.425,0.575,0,0.7506,,1,,TRUE,TRUE,FALSE,p-ensemble had a hint here
21204,42461,ID708141178101895168,Donald Trump,3/10/2016 23:03,"North Carolina, USA",Eastern Time (US & Canada),RT @CeeJayCraig: How is Trump going to talk about embracing new people to the GOP when he: 1) kicks them out of debates 2) isn't even Rep,1,1,1,1,1,1,1,0.876882738,1,0.872939266,3,1,1,1,"(0.011726772452766494, 0.98827322754723435)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.01171607,0.98828393,0,1,0,0,,1,,TRUE,TRUE,TRUE,
21454,42711,ID708278947121917952,Donald Trump,3/11/2016 8:10,null,Eastern Time (US & Canada),"RT @viciousbabushka: Donald Trump gets claim about U.S. GDP really, really wrong #tcot #UniteBlue #GOPDebate https://t.co/FVtvqPgIHF https:",1,1,1,1,1,1,1,0.912517042,1,0.847892582,3,1,1,1,"(0.023570327081271672, 0.97642967291872862)","{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.5678}",0.023519422,0.976480578,0,0.766,0.234,-0.5678,,1,,TRUE,TRUE,TRUE,
22015,43273,ID708143704406515712,Donald Trump,3/10/2016 23:13,Malaysia..,none,"RT @ReutersLive: ""There's nobody on this stage that is more pro-Israel than me,"" Trump says at #GOPDebate. https://t.co/pWRty4ERbv",2,2,2,1,1,1,1,0.838340941,1,0.850529076,3,1,1,1,"(0.15502082227868832, 0.84497917772131137)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.154997269,0.845002731,0,1,0,0,,2,3,FALSE,FALSE,FALSE,lexicon was right?
22051,43309,ID708266297335877633,Donald Trump,3/11/2016 7:20,null,none,.@RealDonaldTrump #Trump2016 The #KingofLosers: #GOPDebate: Another Loser: Trump Marks Atlanta LLC,1,1,1,1,1,1,1,0.872688535,1,0.658530378,3,1,1,1,"(0.27753103655334971, 0.72246896344665001)","{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.5267}",0.277681664,0.722318336,0,0.702,0.298,-0.5267,,1,,TRUE,TRUE,TRUE,
22236,43494,ID708254509341020160,Donald Trump,3/11/2016 6:33,NC,Eastern Time (US & Canada),"RT @FoxNews: .@krauthammer on #GOPDebate: ""The kind of thing that would've been needed to slow down the Trump train simply didn't happen to",3,2,3,1,1,1,1,0.903272433,1,0.857178016,3,1,1,2,"(0.14146905388234191, 0.85853094611765857)","{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.5267}",0.141429926,0.858570074,0.236,0.764,0,0.5267,retweet + quote sentiment case?,3,,FALSE,FALSE,FALSE,
22512,43770,ID708160546290307072,Ted Cruz,3/11/2016 0:20,Wanna be in NYC,Atlantic Time (Canada),RT @WayneDupreeShow: Cruz - we're going to build a wall....damn I know I've heard that before #justsaying  #GOPDebate #WAARadio,1,1,1,1,1,1,1,0.853722556,1,0.829181367,3,1,1,1,"(0.22708229463760521, 0.77291770536239524)","{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",0.160408279,0.839591721,0,0.816,0.184,-0.4019,,1,,TRUE,TRUE,TRUE,
23277,44536,ID708304196571770880,Donald Trump,3/11/2016 9:50,"Providence Towers, Dallas, USA",Central Time (US & Canada),"RT @WayneDupreeShow: Trump on whether he still believes  1.6 billion Muslims hate us....  Yes, I meant a lot of 'em  #GOPDebate #WAARadio #",2,2,2,1,1,1,1,0.883035802,1,0.813315511,3,1,1,1,"(0.018086462660367425, 0.98191353733963294)","{'neg': 0.213, 'neu': 0.632, 'pos': 0.155, 'compound': -0.25}",0.018093691,0.981906309,0.147,0.652,0.201,-0.25,,2,1,FALSE,FALSE,FALSE,
23296,44555,ID708193018499575809,Donald Trump,3/11/2016 2:29,null,none,"RT @KyleKulinski: Trump: ""We have some protesters who are bad dudes, they've done bad things"" RIP, first amendment. #GOPDebate",1,1,1,1,1,1,1,0.88475954,1,0.782352572,3,1,1,1,"(0.17943779449937092, 0.82056220550062797)","{'neg': 0.497, 'neu': 0.503, 'pos': 0.0, 'compound': -0.836}",0.179790823,0.820209177,0,0.529,0.471,-0.836,,1,,TRUE,TRUE,TRUE,
24106,45366,ID708149646204542977,Donald Trump,3/10/2016 23:36,"Ulster County, New York, USA",Pacific Time (US & Canada),"RT @loudobbsnews: Trump proved he can be constrained for two hours, calm despite provocation  Great work, great close. Great Job. #Dobbs #G",3,3,3,3,3,1,3,0.69118128,3,0.75207258,3,3,3,2,"(0.64619339075511262, 0.35380660924488644)","{'neg': 0.478, 'neu': 0.424, 'pos': 0.098, 'compound': -0.8394}",0.712202031,0.287797969,0.094,0.447,0.459,-0.8394,,3,,TRUE,TRUE,FALSE,
25670,46931,ID708504063273410560,Donald Trump,3/11/2016 23:05,null,none,RT @kindcutesteve: Per #GOPDebate this tweet brilliantly summarizes how frightening Trump is as GOP frontrunner #p2 #AINF #TNTVote https://,1,1,1,1,1,0.999965232,1,0.892164334,1,0.713221277,3,1,1,2,"(0.38271193520082764, 0.61728806479917298)","{'neg': 0.176, 'neu': 0.604, 'pos': 0.22, 'compound': 0.2023}",0.382593896,0.617406104,0.208,0.625,0.167,0.2023,,1,,TRUE,TRUE,FALSE,
26202,47464,ID708361542320795648,Ted Cruz,3/11/2016 13:38,Evans Georgia,none,"RT @DefendingtheUSA: Ted Cruz just said ""Government is the Problem"" TRUE, the DC Establishment  Cruz has been part of and STILL IS along w/",1,1,1,1,1,1,1,0.84159513,1,0.819213302,3,1,1,2,"(0.4466785297882474, 0.55332147021175182)","{'neg': 0.174, 'neu': 0.645, 'pos': 0.181, 'compound': 0.0258}",0.446563855,0.553436145,0.17,0.667,0.164,0.0258,,1,,TRUE,TRUE,FALSE,
27585,48848,ID708154009727541249,Ted Cruz,3/10/2016 23:54,null,none,RT @asamjulian: Cruz came off as a petulant little child tonight. I pray that everyone watching sees what a phony this guy is. #GOPDebate,1,1,1,1,3,1,1,0.883527009,1,0.853907017,2,3,1,2,"(0.35127026529143662, 0.64872973470856221)","{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.2585}",0.351406511,0.648593489,0.135,0.865,0,0.2585,,1,,FALSE,TRUE,FALSE,
27883,49147,ID708154094519721984,Ted Cruz,3/10/2016 23:54,a Popeyes organization,Eastern Time (US & Canada),"RT @HuffingtonPost: Cruz: ""We never targeted innocent civilians, and we're not gonna start now."" #GOPDebate",3,3,2,1,1,0.999999306,1,0.891918826,1,0.844425645,3,1,1,1,"(0.19420377370648825, 0.80579622629351066)","{'neg': 0.169, 'neu': 0.831, 'pos': 0.0, 'compound': -0.2584}",0.127649628,0.872350372,0,0.844,0.156,-0.2584,ok with neutral,3,,FALSE,FALSE,FALSE,
30119,51385,ID708147070473875456,Donald Trump,3/10/2016 23:26,"Seattle, Washington",Eastern Time (US & Canada),"RT @harikondabolu: You know Donald Trump is good at business because he uses insider terms like ""deal"" & ""negotiate"" as much as possible. #",1,1,1,1,1,1,1,0.756761437,1,0.747220883,3,1,1,2,"(0.091794273401657286, 0.90820572659834176)","{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.6597}",0.092911361,0.907088639,0.31,0.69,0,0.6597,,1,,TRUE,TRUE,FALSE,
30543,51809,ID708143297676615680,Donald Trump,3/10/2016 23:11,Louisiana,America/Chicago,RT @FullMtlPatriot: Did it look to anyone else that Donald Trump slouched off the stage? He looked defeated. #GOPDebate,1,1,1,1,1,1,1,0.919859574,1,0.854548513,3,1,1,1,"(0.086239162179338136, 0.91376083782066253)","{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",0.086222716,0.913777284,0,0.763,0.237,-0.4767,,1,,TRUE,TRUE,TRUE,
31146,52413,ID708286542184194052,Donald Trump,3/11/2016 8:40,null,Atlantic Time (Canada),"RT @guypbenson: ""I beat Hillary in many of the polls."" - Trump at #GOPDebate  The polls: https://t.co/7sWHYOBtVv",1,1,1,1,3,1,1,0.778299077,1,0.824977482,2,3,1,2,"(0.37657870775610641, 0.62342129224389353)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.376671982,0.623328018,0,1,0,0,,1,,FALSE,TRUE,FALSE,
