"","id","tweet_id","candidate","tweet_created","sentiment","tweet_location","user_timezone","text","predictedLabel","actualLabel","maxEntPrediction","maxEntProbability","svmPrediction","svmProbability","glmnetPrediction","glmnetProbability","consensusCount","probabilityLabel","consensusLabel"
"15",15,"629697182828892160","Scott Walker","2015-08-07 09:54:42 -0700","Positive","San Diego, California","Pacific Time (US & Canada)","RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate",3,3,"3",1,"3",0.523304735153007,"3",0.507674453155609,3,3,3
"16",16,"629697179515535360","Chris Christie","2015-08-07 09:54:41 -0700","Negative","","Central Time (US & Canada)","Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate",1,1,"1",1,"1",0.877525791506454,"1",0.868818955838716,3,1,1
"17",17,"629697178362093568","Donald Trump","2015-08-07 09:54:41 -0700","Negative","","","RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…",1,1,"1",0.997948944525074,"1",0.930335471419564,"1",0.895239330041305,3,1,1
"18",18,"629697177485312000","Donald Trump","2015-08-07 09:54:40 -0700","Negative","","Mountain Time (US & Canada)","RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx",1,1,"1",1,"1",0.914125459211193,"1",0.868818955838716,3,1,1
"19",19,"629697176642449408","No candidate mentioned","2015-08-07 09:54:40 -0700","Negative","","Eastern Time (US & Canada)","reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate",1,1,"1",1,"1",0.877659165648472,"1",0.854141910645147,3,1,1
"20",20,"629697175979585536","Mike Huckabee","2015-08-07 09:54:40 -0700","Negative","NJ","Eastern Time (US & Canada)","RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",1,1,"1",0.999999999982655,"1",0.898422479315652,"1",0.889287544399882,3,1,1
"21",21,"629697171898527744","Ted Cruz","2015-08-07 09:54:39 -0700","Positive","fripp island,sc/ southeast ga","","RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",3,3,"3",1,"3",0.882270952372641,"3",0.555096213351852,3,3,3
"22",22,"629697171579797504","Donald Trump","2015-08-07 09:54:39 -0700","Negative","Conspiracy Theoryland","Pacific Time (US & Canada)","RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”",1,1,"1",1,"1",0.899272665124094,"1",0.758515770433469,3,1,1
"23",23,"629697170476654592","No candidate mentioned","2015-08-07 09:54:39 -0700","Negative","Lynnwood, WA","Pacific Time (US & Canada)","RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate",1,1,"1",1,"1",0.919107748206532,"1",0.887466766586283,3,1,1
"25",25,"629697168052334592","No candidate mentioned","2015-08-07 09:54:38 -0700","Negative","","","RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…",1,1,"1",1,"1",0.927037591441435,"1",0.913093614158097,3,1,1
"26",26,"629697165548482560","Marco Rubio","2015-08-07 09:54:38 -0700","Negative","Sydney, New South Wales","","#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",3,1,"1",0.999999999999903,"3",0.855951569263325,"3",0.693282910000054,2,1,3
"27",27,"629697165128957952","Scott Walker","2015-08-07 09:54:38 -0700","Negative","USA ","","RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…",1,1,"1",1,"1",0.910417964276373,"1",0.868937770037244,3,1,1
"28",28,"629697164999028736","No candidate mentioned","2015-08-07 09:54:38 -0700","Negative","","Eastern Time (US & Canada)","RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…",1,1,"1",1,"1",0.947561606713972,"1",0.872322545758441,3,1,1
"29",29,"629697162574573568","Donald Trump","2015-08-07 09:54:37 -0700","Negative","Cleveland Texas","Central Time (US & Canada)","RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””",1,1,"1",1,"1",0.915949611646454,"1",0.758515770433469,3,1,1
"30",30,"629697161274478592","No candidate mentioned","2015-08-07 09:54:37 -0700","Negative","EveryWhere","Eastern Time (US & Canada)","RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…",1,1,"1",0.999999999999991,"1",0.907553423294686,"1",0.837860313208576,3,1,1
"31",31,"629697160142004224","No candidate mentioned","2015-08-07 09:54:36 -0700","Negative","Green Bay, WI","","@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone",1,1,"1",1,"1",0.890982560928431,"1",0.869280497811946,3,1,1
"32",32,"629697158351073280","Ted Cruz","2015-08-07 09:54:36 -0700","Negative","","Atlantic Time (Canada)","RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …",1,1,"1",0.999999999999977,"1",0.747609015130863,"1",0.789308865635279,3,1,1
"35",35,"629697155687686144","No candidate mentioned","2015-08-07 09:54:35 -0700","Negative","News about tech and more!","Pacific Time (US & Canada)","RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi",1,1,"1",0.998856651217541,"1",0.87753532403789,"1",0.867775426821955,3,1,1
"36",36,"629697155070951424","No candidate mentioned","2015-08-07 09:54:35 -0700","Negative","United States of America","Mazatlan","RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…",1,1,"1",1,"1",0.877598803144282,"1",0.863266765288773,3,1,1
"37",37,"629697154706210816","","2015-08-07 09:54:35 -0700","Negative","","","RT @stockwizards3: Trump/Carson ticket would win in a landslide... @realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …",3,1,"3",0.557301084017335,"3",0.5,"1",0.693006001105041,2,1,3
"38",38,"629697153288400896","Jeb Bush","2015-08-07 09:54:35 -0700","Negative","","","RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…",1,1,"1",1,"1",0.944795201832427,"1",0.898378866648819,3,1,1
"39",39,"629697146883715072","No candidate mentioned","2015-08-07 09:54:33 -0700","Negative","Arizona","Arizona","RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …",1,1,"1",1,"1",0.908403152999951,"1",0.892897599356062,3,1,1
"41",41,"629697146485350400","Donald Trump","2015-08-07 09:54:33 -0700","Negative","Chicago, IL","Central Time (US & Canada)","RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate",1,1,"1",0.999999999396245,"1",0.86187614266496,"1",0.822459037004877,3,1,1
"42",42,"629697146019840000","No candidate mentioned","2015-08-07 09:54:33 -0700","Negative","","Eastern Time (US & Canada)","RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",1,1,"1",1,"1",0.90993059132203,"1",0.894180819732213,3,1,1
"44",44,"629697142077169664","No candidate mentioned","2015-08-07 09:54:32 -0700","Negative","Tac","Pacific Time (US & Canada)","RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3",1,1,"1",0.999999998050621,"1",0.923462338914119,"1",0.865029294001982,3,1,1
"45",45,"629697140802125824","Donald Trump","2015-08-07 09:54:32 -0700","Negative","Washington, DC","Atlantic Time (Canada)","Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",1,1,"1",1,"1",0.952726907829828,"1",0.843914393136229,3,1,1
"46",46,"629697140625780736","No candidate mentioned","2015-08-07 09:54:32 -0700","Negative","","Central Time (US & Canada)","RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter   http://t.co/8ZGdY6lPCT",1,1,"1",0.999999999369865,"1",0.923078987382934,"1",0.900842802121788,3,1,1
"49",49,"629697132455424000","Donald Trump","2015-08-07 09:54:30 -0700","Positive","","","“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks",3,3,"3",1,"3",0.976526591159199,"3",0.693846332831051,3,3,3
"50",50,"629697124616273920","Mike Huckabee","2015-08-07 09:54:28 -0700","Negative","Richmond, VA","Eastern Time (US & Canada)","RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers",1,1,"1",1,"1",0.815762901104318,"1",0.814100597103082,3,1,1
"52",52,"629697118748471296","Rand Paul","2015-08-07 09:54:26 -0700","Positive","U.S. city with the most Cubans","Atlantic Time (Canada)","RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…",1,3,"3",0.999973318570375,"1",0.645342142725837,"1",0.810021810564971,2,3,1
"53",53,"629697116303028224","No candidate mentioned","2015-08-07 09:54:26 -0700","Negative","Denver, CO","Central Time (US & Canada)","RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…",1,1,"1",1,"1",0.949555737545292,"1",0.896482102278061,3,1,1
"54",54,"629697115900391424","Donald Trump","2015-08-07 09:54:26 -0700","Negative","Los Angeles","Pacific Time (US & Canada)","@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate",1,1,"1",1,"1",0.901793714464934,"1",0.785753867062178,3,1,1
"55",55,"629697115887828992","No candidate mentioned","2015-08-07 09:54:26 -0700","Negative","Houston, TX","Central Time (US & Canada)","RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",1,1,"1",0.999999965229114,"1",0.877338433416188,"1",0.830579827213996,3,1,1
"56",56,"629697113656586240","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","Midgard","Mountain Time (US & Canada)","RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…",1,1,"1",1,"1",0.951920913078522,"1",0.899115943631533,3,1,1
"57",57,"629697111794286592","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","U.S.A","Central Time (US & Canada)","RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h",1,1,"1",1,"1",0.954527658942169,"1",0.867386041849683,3,1,1
"58",58,"629697110485663744","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","Rhinebeck, NY","","RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…",1,1,"1",1,"1",0.932389870005591,"1",0.880434307227141,3,1,1
"59",59,"629697109881696256","No candidate mentioned","2015-08-07 09:54:24 -0700","Negative","NW Florida","Central Time (US & Canada)","RT @mydaughtersarmy: Dear GOP, If you want to stop abortions...   #GOPDebate  http://t.co/RbL1t4iPx6",1,1,"1",1,"1",0.977913784451999,"1",0.874349885051082,3,1,1
"60",60,"629697107566309376","Ted Cruz","2015-08-07 09:54:24 -0700","Positive","","","RT @KarrattiPaul: Join ISIS and sign your death warrant, Signed @tedcruz next President of the US<ed><U+00AE><U+00B9><ed><U+00B3><U+00A6>  #GOPDebate #WakeUpAmerica #CruzCrew htt…",3,3,"3",0.999999416027081,"3",0.737669145822196,"1",0.617083743759974,2,3,3
"61",61,"629697107201495040","No candidate mentioned","2015-08-07 09:54:24 -0700","Negative","Delaware","Eastern Time (US & Canada)","RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso",1,1,"1",1,"1",0.901827164468779,"1",0.865029294001982,3,1,1
"62",62,"629697105838383104","No candidate mentioned","2015-08-07 09:54:23 -0700","Negative","Florida,, usually","Eastern Time (US & Canada)","RT @AmyMek: Status <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Single   I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.  #GOPDebate http://t.…",1,1,"1",0.999999983842172,"1",0.877364264213787,"1",0.852985104276777,3,1,1
"63",63,"629697105360240640","Donald Trump","2015-08-07 09:54:23 -0700","Positive"," NYC","Eastern Time (US & Canada)","RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.  After, only 3 saw him positively.  http://…",1,3,"3",0.999340740148288,"1",0.863932837848422,"1",0.842855608398581,2,3,1
"64",64,"629697105318117376","No candidate mentioned","2015-08-07 09:54:23 -0700","Positive","San Diego","Pacific Time (US & Canada)","RT @_Holly_Renee: Just made my first donation to @CarlyFiorina. So impressed by her #GOPDebate performance. #Fiorina http://t.co/JLfhFvZ7ST",3,3,"3",1,"3",0.972239824055073,"3",0.771095979802876,3,3,3
"65",65,"629697102982066176","No candidate mentioned","2015-08-07 09:54:23 -0700","Negative","","","RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate",1,1,"1",1,"1",0.940668076699019,"1",0.880434307227141,3,1,1
"69",69,"629697097973919744","Donald Trump","2015-08-07 09:54:22 -0700","Positive","Oxnerd, California","Arizona","RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.  And they vote.   That should scare eve…",1,3,"3",0.997674510449168,"1",0.916343739472031,"1",0.849318817140711,2,3,1
"70",70,"629697097885945856","Donald Trump","2015-08-07 09:54:21 -0700","Negative","Vatican City","","RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…",1,1,"1",1,"1",0.870820399188072,"1",0.844399283885077,3,1,1
"71",71,"629697097479155712","Donald Trump","2015-08-07 09:54:21 -0700","Negative","Pittsburgh, PA","Eastern Time (US & Canada)","Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",1,1,"1",1,"1",0.801990243882822,"1",0.795092203835806,3,1,1
"72",72,"629697097369923584","No candidate mentioned","2015-08-07 09:54:21 -0700","Negative","","","RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…",1,1,"1",1,"1",0.905210525161742,"1",0.868994860006419,3,1,1
"73",73,"629697094182416384","Jeb Bush","2015-08-07 09:54:21 -0700","Negative","TEXAS is the greatest state","Central Time (US & Canada)","RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""",1,1,"1",1,"1",0.87768794873281,"1",0.866865351301046,3,1,1
"74",74,"629697093880414208","No candidate mentioned","2015-08-07 09:54:21 -0700","Positive","Illinois, SW of Chicago","Central Time (US & Canada)","@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.",1,3,"3",0.999999728681263,"1",0.700257100199807,"1",0.750550093094392,2,3,1
"75",75,"629697091443531776","Donald Trump","2015-08-07 09:54:20 -0700","Negative","","Quito","The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",1,1,"1",1,"1",0.921879977441274,"1",0.849703101747876,3,1,1
"76",76,"629697088583004160","No candidate mentioned","2015-08-07 09:54:19 -0700","Positive","Walland, Tn","Eastern Time (US & Canada)","RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…",1,3,"3",1,"1",0.656899449100371,"1",0.587538530433982,2,3,1
"77",77,"629697087219707904","Donald Trump","2015-08-07 09:54:19 -0700","Negative","","","RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…",1,1,"1",0.999998665873282,"1",0.855684681243681,"1",0.887120073472473,3,1,1
"78",78,"629697086145982464","No candidate mentioned","2015-08-07 09:54:19 -0700","Negative","Holland, Michigan USA ","Eastern Time (US & Canada)","RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN",1,1,"1",1,"1",0.917718282975863,"1",0.866133478422054,3,1,1
"79",79,"629697080630468608","No candidate mentioned","2015-08-07 09:54:17 -0700","Negative","","","RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate",1,1,"1",1,"1",0.894854577156335,"1",0.883604283011215,3,1,1
"81",81,"629697076469891072","No candidate mentioned","2015-08-07 09:54:16 -0700","Negative","","Eastern Time (US & Canada)","RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …",1,1,"1",0.999999999999908,"1",0.8777517748259,"1",0.887049766312454,3,1,1
"82",82,"629697071113719808","No candidate mentioned","2015-08-07 09:54:15 -0700","Negative","Madison, NJ","Eastern Time (US & Canada)","Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.",1,1,"1",1,"1",0.961444283042105,"1",0.854710824777043,3,1,1
"83",83,"629697070757249024","No candidate mentioned","2015-08-07 09:54:15 -0700","Positive","","","RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY",3,3,"3",1,"3",0.999489354498037,"3",0.988447561012372,3,3,3
"84",84,"629697065057042432","Ted Cruz","2015-08-07 09:54:14 -0700","Positive","Arrington, TN","Eastern Time (US & Canada)","RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…",3,3,"3",1,"3",0.777182514941981,"1",0.637106482292867,2,3,3
"87",87,"629697053740912640","No candidate mentioned","2015-08-07 09:54:11 -0700","Negative","The District. ","Quito","They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP  http://t.co/ekXPfKtHQn",1,1,"1",1,"1",0.933580724034593,"1",0.884357425079845,3,1,1
"88",88,"629697053317173248","No candidate mentioned","2015-08-07 09:54:11 -0700","Negative","Southwest USA","","RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…",1,1,"1",1,"1",0.93701515340127,"1",0.869130648201013,3,1,1
"89",89,"629697052344123392","Donald Trump","2015-08-07 09:54:11 -0700","Negative","9/10th mile north Nowhere OK","","RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…",1,1,"1",0.999897721741667,"1",0.877502906133177,"1",0.832331045207133,3,1,1
"91",91,"629697046044237824","No candidate mentioned","2015-08-07 09:54:09 -0700","Positive","Stevens Point // DeKalb","Mountain Time (US & Canada)","Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate",1,3,"3",0.999994841235762,"1",0.547269022501707,"1",0.731971594892237,2,3,1
"92",92,"629697045742252032","No candidate mentioned","2015-08-07 09:54:09 -0700","Negative","Los Angeles","","RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…",1,1,"1",1,"1",0.931736319760343,"1",0.884607889346227,3,1,1
"93",93,"629697036363935744","No candidate mentioned","2015-08-07 09:54:07 -0700","Positive","","","RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR",1,3,"3",0.999921092910083,"1",0.877293526798851,"1",0.868516107009955,2,3,1
"94",94,"629697036258914304","No candidate mentioned","2015-08-07 09:54:07 -0700","Positive","Boise, Idaho","Mountain Time (US & Canada)","RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…",1,3,"3",0.999999999999994,"1",0.549692072111661,"1",0.632086439119216,2,3,1
"95",95,"629697034694565888","No candidate mentioned","2015-08-07 09:54:06 -0700","Negative","Washington, DC","Eastern Time (US & Canada)","RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…",1,1,"1",1,"1",0.909575704040626,"1",0.868692214581807,3,1,1
"96",96,"629697030869372928","Donald Trump","2015-08-07 09:54:06 -0700","Negative","191 Throckmorton St. Freehold","","RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj",1,1,"1",1,"1",0.893133204419167,"1",0.78755744429857,3,1,1
"98",98,"629697026955939840","No candidate mentioned","2015-08-07 09:54:05 -0700","Negative","Austin, Texas","","RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw",1,1,"1",0.997976461970614,"1",0.915594901915206,"1",0.883122049643058,3,1,1
"99",99,"629697026905653248","Marco Rubio","2015-08-07 09:54:05 -0700","Negative","lib utopia, with unicorns","Pacific Time (US & Canada)","RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…",1,1,"1",0.999048414024787,"1",0.716845900680765,"1",0.720265544484506,3,1,1
"100",100,"629697026054172672","Donald Trump","2015-08-07 09:54:04 -0700","Negative","Las Vegas, Nevada","America/Los_Angeles","RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…",1,1,"1",0.999999999999982,"1",0.814584381541804,"1",0.815219030270154,3,1,1
"102",102,"629697023877341184","No candidate mentioned","2015-08-07 09:54:04 -0700","Positive","","Mountain Time (US & Canada)","Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP",3,3,"3",0.999913051288948,"3",0.790718138417248,"3",0.575376908164053,3,3,3
"103",103,"629697023663546368","Donald Trump","2015-08-07 09:54:04 -0700","Negative","","","RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …",1,1,"1",1,"1",0.953265453334181,"1",0.916182632567252,3,1,1
"104",104,"629697022866493440","No candidate mentioned","2015-08-07 09:54:04 -0700","Negative","","Mountain Time (US & Canada)","RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…",1,1,"1",1,"1",0.922004457999433,"1",0.876565262745136,3,1,1
"106",106,"629697014922526720","No candidate mentioned","2015-08-07 09:54:02 -0700","Negative","Los Angeles","Pacific Time (US & Canada)","RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT",1,1,"1",1,"1",0.918121767744224,"1",0.881135367404929,3,1,1
"107",107,"629697014557769728","John Kasich","2015-08-07 09:54:02 -0700","Positive","","Central Time (US & Canada)","RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",3,3,"3",0.999999988734866,"3",0.816658676274148,"3",0.648122091700946,3,3,3
"108",108,"629697014494822400","No candidate mentioned","2015-08-07 09:54:02 -0700","Positive","USA","Eastern Time (US & Canada)","Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate",1,3,"3",1,"1",0.852906446222368,"1",0.868818955838716,2,3,1
"110",110,"629697012510789632","Donald Trump","2015-08-07 09:54:01 -0700","Negative","Earth","Mountain Time (US & Canada)","Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate",1,1,"1",0.999999799437825,"1",0.877352669820324,"1",0.87036985321818,3,1,1
"111",111,"629697002830327808","No candidate mentioned","2015-08-07 09:53:59 -0700","Negative","PDX","Eastern Time (US & Canada)","RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate",1,1,"1",1,"1",0.963558515518895,"1",0.912085577346664,3,1,1
