tweet_id,candidate,name,tweet_created,tweet_location,user_timezone,retweet_count,sentiment,quote_sentiment,tone,text
ID708152594066186240,Trump,Jimmy Inga,3/10/2016 23:48:00,"Woodbridge, VA",Eastern Time (US & Canada),785,negative,negative,negative,"RT @ajplus: #GOPDebate: Trump says most Muslims hate America.

@sbarakat210 says this kind of rhetoric provokes violence: https://t.co/w47…"
ID708159078527176705,Trump,Luke Allen,3/11/2016 0:14:00,"Burbank, CA ",Pacific Time (US & Canada),0,positive,positive,positive,Me and arthur are rooting for you @realDonaldTrump @arthurallen34 #trump #election #GOPDebate
ID708250501792579584,Trump,Jerry Ross,3/11/2016 6:17:00,null,America/Detroit,1,negative,negative,negative,"RT @SteveVaughn: If you don't like Donald Trump's stand on an issue, wait about a half hour. It will change.
#CNNDebate #GOPDebate"
ID708161567171305472,Cruz,Sarah Bentley,3/11/2016 0:24:00,null,Pacific Time (US & Canada),31,negative,negative,negative,Ted Cruz was a rabid dog tonight. Not exactly words that anyone would cross over to him for. His insults and lies were desperate. #GOPDebate
ID708468081409048577,Trump,Tar&Feathers,3/11/2016 20:42:00,future refugee safe zone,null,42,negative,negative,negative,"RT @Shooters_Wife: .@glennbeck: Regarding Cuba: There is no principle that Donald Trump isn't willing to violate.

#GOPDebate
#CharacterMa…"
ID708208488615272448,Trump,Dana,3/11/2016 3:30:00,"Washington, USA",null,1,neutral,positive,positive,"RT @BigHoner: Trump: we have to knock out ISIS, knock them out fast, then get back home and rebuild our country because it is falling apart…"
ID708323406509248512,Cruz,Tierrah,3/11/2016 11:07:00,Arkansas,Central Time (US & Canada),90,negative,negative,negative,RT @KLSouth: #Cruz's lies appear pathological. At #GOPdebate he said he didn't want a contested convention. Here's the truth. https://t.co/…
ID708193485740859392,Trump,Matthew?,3/11/2016 2:30:00,null,null,13,negative,negative,negative,RT @bi_politics: . @realDonaldTrump addresses his most recent controversy. #GOPDebate https://t.co/mRlVsmte7R https://t.co/E13xuQ6fPe
ID708291038033477632,Cruz,Annie,3/11/2016 8:58:00,null,null,231,negative,negative,negative,"RT @AdamSmith_USA: Cruz: ""My focus is on single moms.""

*opposes reproductive rights*
*opposes maternity care*
*opposes raising the minimum…"
ID708268482844971008,Cruz,Matt Wells #CruzCrew,3/11/2016 7:28:00,"Iowa, USA",null,53,neutral,positive,negative,RT @resurgent: Cruz: Common Core is a disaster #GOPDebate https://t.co/Mr9GAqFjEf
ID708176860308312064,Trump,Jose Juan Gonzalez,3/11/2016 1:24:00,"San Diego, CA",null,129,neutral,neutral,neutral,RT @JordanDoww: An important message from Donald Trump #GOPDebate https://t.co/JwOWXkwV0f
ID708198302144012288,Trump,Carolyn Sandidge,3/11/2016 2:50:00,"Oakland, CA",null,14,negative,negative,negative,"RT @CatholicDems: Yes, #Trump, the most effective way to combat hate is to perpetuate stereotypes & xenophobia #GOPDebate"
ID708154651795988480,Trump,"QuestionPro, Inc.",3/10/2016 23:56:00,"San Francisco, CA",Eastern Time (US & Canada),3,neutral,neutral,negative,The Republican Debate In Miami: A Tame Trump Makes For Lame TV. https://t.co/hxmKh1eRpy #GOPDebate #Scandal https://t.co/pUIHc6D4S1
ID708141059012841477,Trump,c. sue smith,3/10/2016 23:02:00,null,null,196,positive,positive,negative,RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…
ID708142855999459328,Cruz,Dont Stand Down,3/10/2016 23:09:00,USA,Central Time (US & Canada),3,positive,positive,positive,"RT @ACSpollen: Lol. Cruz just trolled Coulter, and it was beautiful. #GOPDebate"
ID708152392714493952,Cruz,Timbuktwo,3/10/2016 23:47:00,null,null,16,negative,negative,negative,RT @magnifier661: Wow! Look at how many Didn't want #LyingTed Cruz #GOPDebate  https://t.co/GBCw0JxKdq
ID708275035232968705,Trump,Jeanne Stone,3/11/2016 7:55:00,null,Eastern Time (US & Canada),13,negative,negative,negative,RT @ajenable: Trump was wrong about trade! You can't punish Americans by putting a 45% tariff on imports. #NeverTrump #GOPDebate
ID708148245088899073,Trump,Tom,3/10/2016 23:31:00,ATL Family Man,Eastern Time (US & Canada),166,neutral,neutral,negative,RT @DefendingtheUSA: #GlennBeck must HATE seeing Trump EVEN WINNING his BLAZE poll. VOTE HERE -->https://t.co/vHZOusNhr1 #GOPDebate https:/…
ID708154667889463297,Trump,Ellen Glassett,3/10/2016 23:56:00,null,null,51,negative,negative,negative,"RT @RadioFreeTom: Trump reassuring our allies that he'll be worse than Obama.

#GOPDebate"
ID708145450512097280,Trump,Jerry The Carpenter,3/10/2016 23:20:00,null,null,0,positive,positive,positive,Vote now: Who won the twelfth Republican debate? #GOPDebate https://t.co/bVUkTeh31Y via @TIMEPolitics Trump won again see for yourself
ID708452842986741761,Trump,#BatmanvSuperman,3/11/2016 19:41:00,"Metropolis, IL",London,14,neutral,positive,negative,"RT @larryelder: ""There's a lot of hatred.""
--Donald Trump
""Terrorist Groups Intensify Targeting of Children for Jihad"" https://t.co/GqqGuu…"
ID708142286916354053,Cruz,TheMartian,3/10/2016 23:07:00,Mars,null,45,positive,positive,positive,"RT @MattMackowiak: Excellent closing statement from Cruz.
#GOPDebate"
ID708325567645351939,Trump,MICHAELANTONIO,3/11/2016 11:15:00,"Las Vegas, NV",Pacific Time (US & Canada),0,negative,negative,negative,https://t.co/brVLp4doP2 VIDEO: After praising 'civility': We all know that Trump was faki... https://t.co/Q17J4tzQS4 https://t.co/brVLp4doP2
ID708330121833222144,Trump,Lee Morgan,3/11/2016 11:33:00,"Cupertino, CA",Eastern Time (US & Canada),21,negative,negative,negative,"RT @KenPlume: You can't shame a man with no shame, nor trap an illogical man with logic. You can't talk sane to crazy. Trump is bulletproof…"
ID708140768624390145,Cruz,Rebecca Sun,3/10/2016 23:01:00,California,Pacific Time (US & Canada),0,positive,positive,positive,"Cruz with the slick burrrrrrrn, although why did he pull back from ""son of a billionaire""? #GOPDebate"
ID708186318480642048,Trump,Benjamin Penny,3/11/2016 2:02:00,The Windy City,Central Time (US & Canada),953,neutral,positive,positive,"RT @FoxNews: Trump: ""We should pay our respects to the police because they are taking tremendous abuse... & they do a phenomenal job."" #GOP…"
ID708156186642616320,Trump,tom182blink1,3/11/2016 0:02:00,null,null,348,positive,positive,negative,"RT @WDFx2EU: HEY @BreitbartNews, go tell #RobertMercer to fuck himself, from yours truly and the rest of the millions of #Trump supporters …"
ID708330958131499009,Trump,Dercle jean-luc,3/11/2016 11:37:00,"Vesoul, Franche-Comt",null,122,negative,negative,negative,RT @Politics_PR: Wow Trump's social security plan is just clueless #GOPDebate https://t.co/60nUxMUvLy
ID708148261668921344,Trump,Jim S.,3/10/2016 23:31:00,United States,Central Time (US & Canada),177,positive,positive,negative,"RT @larryelder: Trump's asked about ""tone"" that's caused violence. Dems aren't asked about their anti-cop rhetoric and anti-cop riots/looti…"
ID708424380850765825,Trump,Michelle,3/11/2016 17:48:00,null,Central Time (US & Canada),293,neutral,positive,negative,"RT @FoxNews: Trump: ""I used to think Merkel was a great leader until she did what she did to Germany. Germany is a disaster right now."" #GO…"
ID708141489080041473,Trump,Jonathan Norman,3/10/2016 23:04:00,null,null,0,negative,negative,negative,Trump will be good to American worker #GOPDebate #republican primary voters love reality #i rode a unicorn to fight a dragon
ID708155447375568897,Cruz,mark chaffin,3/10/2016 23:59:00,Fresno CA,null,13,negative,negative,negative,"RT @KLSouth: Palin: GOP Majority Voters in Primary are Wayyyyyy Beneath #Cruz, So Says Cruz. https://t.co/Psrma4i9b9 #GOPDebate #CNNDebate …"
ID708189055708565508,Trump,cinnnystop,3/11/2016 2:13:00,null,null,947,positive,positive,positive,"RT @FrankLuntz: Donald Trump is having his best #GOPDebate of the season so far.

He's answering questions directly, calmly, and… president…"
ID708147967178334208,Cruz,#AlwaysCruz - John,3/10/2016 23:30:00,In My Lane,Pacific Time (US & Canada),36,positive,positive,positive,RT @bstein80: Great Cruz point on Israel/Palestinians. Strong. #GOPDebate
ID708193684538265600,Trump,Zna Trainer,3/11/2016 2:31:00,null,Hawaii,98,positive,positive,negative,"RT @Veteran4Trump: Donald Trump: If we don't have borders, if we don't have strength, we are not a country."" #GOPDebate #Trump2016 https://…"
ID708145032453173248,Trump,Margaret White,3/10/2016 23:18:00,planet earth,Arizona,33,positive,positive,negative,RT @saraelvin: Your attempt to bash #TRUMP failed he wins no matter what! #GOPDebate #tcot #CCOT #AlwaysTrump https://t.co/4vWuQwXL7x
ID708140966457135104,Trump,Mark Kogan,3/10/2016 23:02:00,"Washington, D.C.",Eastern Time (US & Canada),0,positive,positive,positive,"Trump's closing argument is all general election, all day. #GOPDebate"
ID708354474629337089,Trump,Robert O. Brown Jr.,3/11/2016 13:10:00,null,null,35,positive,positive,positive,RT @DaystoTrump: 242 #DaysToTrump : Counting down to the election in November! #Trump2016 #Trump #GOPDebate #MakeAmericaGreatAgain https://…
ID708172423128965122,Trump,Amanda B,3/11/2016 1:07:00,"Missoula, MT. ",null,29,neutral,neutral,neutral,"RT @FrankLuntz: An uncharacteristically subdued #GOPDebate audience tonight.

Listen to that quiet after a Donald Trump response to Ted Cru…"
ID708203705594744832,Trump,CJH,3/11/2016 3:11:00,null,null,81,negative,negative,negative,"RT @myfeetonfleek: Grammar Lesson for Donald Trump & the World: It is NEVER ""people that"" People are ""who"". Things/Places/Objects are ""that…"
ID708186427700293632,Trump,Asad Bain,3/11/2016 2:02:00,"Atlanta, GA",Eastern Time (US & Canada),30,neutral,positive,neutral,"RT @thehill: Trump: GOP establishment ""should embrace what's happening"" https://t.co/4Eq8DijzPa #GOPdebate https://t.co/34lwgiZW0N"
ID708449009975697408,Trump,Nov 23.,3/11/2016 19:26:00,null,Mountain Time (US & Canada),17,negative,negative,negative,"RT @GeneralNikkiX: #GOPDebate:

Damn Devils Like Donald Trump Play Super Dumb When They Want To .. While Touting How Smart They Are. https:…"
ID708153215276048384,Trump,Shar,3/10/2016 23:50:00,"North Carolina, USA",null,201,negative,negative,negative,"RT @BettyBowers: When Trump blows Putin a wet kiss and slams Obama, GOP audience goes wild. You know, because they love America and are pat…"
ID708199565942398976,Trump,SeasonalPun,3/11/2016 2:55:00,Northern Hemisphere! PNW!,Central Time (US & Canada),6,negative,negative,negative,"RT @mohammedzismail: Lord. Give. Me. Strength.

A Trump supporter sucker punches a protester. Trump responds ""We have protesters who are b…"
ID708140573094326272,Trump,Tim Mansfield,3/10/2016 23:00:00,USA,null,2,negative,negative,negative,"RT @ConstitutionCop: Trump just told all of us he's perfectly fine allowing Social Security to bankrupt us. He said it, not me. Talk to him…"
ID708346956691673088,Trump,Billy Otero,3/11/2016 12:40:00,"?T: 4.707374,-74.05005",null,135,neutral,negative,neutral,"RT @Ted_Newton: Most recently, CNN poll has Clinton defeating Trump 52-44. https://t.co/7majv50t6H #GOPDebate #NeverTrump"
ID708207950452670465,Trump,Carly Says,3/11/2016 3:28:00,"New Jersey, USA",Eastern Time (US & Canada),110,neutral,positive,positive,"RT @FoxNews: .@krauthammer on Trump's #GOPDebate strategy: ""Be laid back, be presidential...stay in cruise mode, no pun intended"" https://t…"
ID708274368036675584,Cruz,HAL #AlwaysTrump,3/11/2016 7:52:00,.,null,30,negative,negative,negative,RT @PattonDivision: Scary Heidi #Cruz is an architect of the North American Union. Sachs exec. #GOPDebate #OhioPrimary #FLPrimary https://t…
ID708149110675603456,Trump,Xavier E Perez,3/10/2016 23:34:00,null,Mountain Time (US & Canada),1,negative,negative,negative,"RT @DSMac27: C'mon, Bret - Trump said NOTHING of any meaning or content. #GOPDebate #KellyFile"
ID708149158167846919,Trump,Mark Alan,3/10/2016 23:34:00,AL,null,156,positive,positive,neutral,RT @OldRowOfficial: Trump has the only reasonable position on fighting radical Islam. #GOPDebate https://t.co/hSuig5YmY5
ID708150416496664577,Trump,Make America Great,3/10/2016 23:39:00,CA,Pacific Time (US & Canada),23,positive,positive,positive,RT @LeCombat: Trump ends by speaking about WE THE PEOPLE. Unify! #GOPDebate
ID708142889038008320,Trump,Linda Susan Weeks,3/10/2016 23:09:00,"Basin, Wyoming",null,575,positive,positive,positive,"RT @LindaSuhler: Congratulation, friends.
Tonight you met President Donald Trump.
America wins.

#GOPDebate
#Trump2016"
