"","X","id","tweet_id","candidate","tweet_created","sentiment","tweet_location","user_timezone","text","predictedLabel","actualLabel","maxEntPrediction","maxEntProbability","svmPrediction","svmProbability","glmnetPrediction","glmnetProbability","consensusCount","probabilityLabel","consensusLabel"
"15",15,15,"629697182828892160","Scott Walker","2015-08-07 09:54:42 -0700","Positive","San Diego, California","Pacific Time (US & Canada)","RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate",3,3,"3",0.999999999999205,"3",0.528501595400466,"3",0.508427493045361,3,3,3
"16",16,16,"629697179515535360","Chris Christie","2015-08-07 09:54:41 -0700","Negative","","Central Time (US & Canada)","Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate",1,1,"1",1,"1",0.877669243348789,"1",0.868487947333809,3,1,1
"17",17,17,"629697178362093568","Donald Trump","2015-08-07 09:54:41 -0700","Negative","","","RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…",1,1,"1",0.999890892295811,"1",0.926486068438878,"1",0.895407444420896,3,1,1
"18",18,18,"629697177485312000","Donald Trump","2015-08-07 09:54:40 -0700","Negative","","Mountain Time (US & Canada)","RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx",1,1,"1",1,"1",0.913645857121088,"1",0.868487947333809,3,1,1
"19",19,19,"629697176642449408","No candidate mentioned","2015-08-07 09:54:40 -0700","Negative","","Eastern Time (US & Canada)","reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate",1,1,"1",1,"1",0.877540515196802,"1",0.854890210363338,3,1,1
"20",20,20,"629697175979585536","Mike Huckabee","2015-08-07 09:54:40 -0700","Negative","NJ","Eastern Time (US & Canada)","RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate",1,1,"1",0.999999992991059,"1",0.89848572048672,"1",0.889609131073312,3,1,1
"21",21,21,"629697171898527744","Ted Cruz","2015-08-07 09:54:39 -0700","Positive","fripp island,sc/ southeast ga","","RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",3,3,"3",1,"3",0.886731819432344,"3",0.550612449689145,3,3,3
"22",22,22,"629697171579797504","Donald Trump","2015-08-07 09:54:39 -0700","Negative","Conspiracy Theoryland","Pacific Time (US & Canada)","RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”",1,1,"1",1,"1",0.899434462422888,"1",0.756418055448102,3,1,1
"23",23,23,"629697170476654592","No candidate mentioned","2015-08-07 09:54:39 -0700","Negative","Lynnwood, WA","Pacific Time (US & Canada)","RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate",1,1,"1",1,"1",0.917573459714488,"1",0.887165263888148,3,1,1
"25",25,25,"629697168052334592","No candidate mentioned","2015-08-07 09:54:38 -0700","Negative","","","RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…",1,1,"1",1,"1",0.928059525880656,"1",0.912798214145813,3,1,1
"26",26,26,"629697165548482560","Marco Rubio","2015-08-07 09:54:38 -0700","Negative","Sydney, New South Wales","","#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",3,1,"1",0.999999999871601,"3",0.854539576387182,"3",0.693914747707794,2,1,3
"27",27,27,"629697165128957952","Scott Walker","2015-08-07 09:54:38 -0700","Negative","USA ","","RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…",1,1,"1",1,"1",0.912479352667833,"1",0.868487947333809,3,1,1
"28",28,28,"629697164999028736","No candidate mentioned","2015-08-07 09:54:38 -0700","Negative","","Eastern Time (US & Canada)","RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…",1,1,"1",1,"1",0.94677760799068,"1",0.872720043030913,3,1,1
"29",29,29,"629697162574573568","Donald Trump","2015-08-07 09:54:37 -0700","Negative","Cleveland Texas","Central Time (US & Canada)","RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””",1,1,"1",1,"1",0.91608830125068,"1",0.756418055448102,3,1,1
"30",30,30,"629697161274478592","No candidate mentioned","2015-08-07 09:54:37 -0700","Negative","EveryWhere","Eastern Time (US & Canada)","RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…",1,1,"1",0.999999999985154,"1",0.912148477740434,"1",0.838010925023694,3,1,1
"31",31,31,"629697160142004224","No candidate mentioned","2015-08-07 09:54:36 -0700","Negative","Green Bay, WI","","@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone",1,1,"1",1,"1",0.891372274355879,"1",0.869086189124374,3,1,1
"32",32,32,"629697158351073280","Ted Cruz","2015-08-07 09:54:36 -0700","Negative","","Atlantic Time (Canada)","RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …",1,1,"1",0.999999999999523,"1",0.752173922618459,"1",0.788701719748116,3,1,1
"35",35,35,"629697155687686144","No candidate mentioned","2015-08-07 09:54:35 -0700","Negative","News about tech and more!","Pacific Time (US & Canada)","RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi",1,1,"1",0.999748439744788,"1",0.877428606196152,"1",0.867133419371488,3,1,1
"36",36,36,"629697155070951424","No candidate mentioned","2015-08-07 09:54:35 -0700","Negative","United States of America","Mazatlan","RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…",1,1,"1",1,"1",0.877586079014843,"1",0.862898883774943,3,1,1
"37",37,37,"629697154706210816","","2015-08-07 09:54:35 -0700","Negative","","","RT @stockwizards3: Trump/Carson ticket would win in a landslide... @realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …",1,1,"3",0.523481981089892,"1",0.512630951379933,"1",0.690844027092721,2,1,1
"38",38,38,"629697153288400896","Jeb Bush","2015-08-07 09:54:35 -0700","Negative","","","RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…",1,1,"1",1,"1",0.946578021205152,"1",0.898114669439902,3,1,1
"39",39,39,"629697146883715072","No candidate mentioned","2015-08-07 09:54:33 -0700","Negative","Arizona","Arizona","RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …",1,1,"1",1,"1",0.907396905743518,"1",0.892764487436503,3,1,1
"41",41,41,"629697146485350400","Donald Trump","2015-08-07 09:54:33 -0700","Negative","Chicago, IL","Central Time (US & Canada)","RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate",1,1,"1",0.999999999999448,"1",0.86379350209,"1",0.822693353790318,3,1,1
"42",42,42,"629697146019840000","No candidate mentioned","2015-08-07 09:54:33 -0700","Negative","","Eastern Time (US & Canada)","RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq",1,1,"1",1,"1",0.911872176985409,"1",0.895744925629446,3,1,1
"44",44,44,"629697142077169664","No candidate mentioned","2015-08-07 09:54:32 -0700","Negative","Tac","Pacific Time (US & Canada)","RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3",1,1,"1",0.999999999672427,"1",0.923160608274377,"1",0.863556301514566,3,1,1
"45",45,45,"629697140802125824","Donald Trump","2015-08-07 09:54:32 -0700","Negative","Washington, DC","Atlantic Time (Canada)","Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",1,1,"1",1,"1",0.951569163712712,"1",0.843508690362853,3,1,1
"46",46,46,"629697140625780736","No candidate mentioned","2015-08-07 09:54:32 -0700","Negative","","Central Time (US & Canada)","RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter   http://t.co/8ZGdY6lPCT",1,1,"1",0.999999999999957,"1",0.924331953314844,"1",0.899777199155309,3,1,1
"49",49,49,"629697132455424000","Donald Trump","2015-08-07 09:54:30 -0700","Positive","","","“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks",3,3,"3",1,"3",0.974860730253307,"3",0.682900741936572,3,3,3
"50",50,50,"629697124616273920","Mike Huckabee","2015-08-07 09:54:28 -0700","Negative","Richmond, VA","Eastern Time (US & Canada)","RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers",1,1,"1",1,"1",0.81003047197148,"1",0.812503711054584,3,1,1
"52",52,52,"629697118748471296","Rand Paul","2015-08-07 09:54:26 -0700","Positive","U.S. city with the most Cubans","Atlantic Time (Canada)","RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…",1,3,"3",0.999867282810816,"1",0.628403166586193,"1",0.805476262179763,2,3,1
"53",53,53,"629697116303028224","No candidate mentioned","2015-08-07 09:54:26 -0700","Negative","Denver, CO","Central Time (US & Canada)","RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…",1,1,"1",1,"1",0.947366606221403,"1",0.897866846255464,3,1,1
"54",54,54,"629697115900391424","Donald Trump","2015-08-07 09:54:26 -0700","Negative","Los Angeles","Pacific Time (US & Canada)","@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate",1,1,"1",1,"1",0.902433747981398,"1",0.786802545745088,3,1,1
"55",55,55,"629697115887828992","No candidate mentioned","2015-08-07 09:54:26 -0700","Negative","Houston, TX","Central Time (US & Canada)","RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",1,1,"1",0.99999725575055,"1",0.877423954961777,"1",0.830842965104238,3,1,1
"56",56,56,"629697113656586240","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","Midgard","Mountain Time (US & Canada)","RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…",1,1,"1",1,"1",0.95927920477531,"1",0.899996515604608,3,1,1
"57",57,57,"629697111794286592","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","U.S.A","Central Time (US & Canada)","RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h",1,1,"1",1,"1",0.955564546056826,"1",0.866627308023369,3,1,1
"58",58,58,"629697110485663744","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","Rhinebeck, NY","","RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…",1,1,"1",1,"1",0.927426030333102,"1",0.880971654088193,3,1,1
"59",59,59,"629697109881696256","No candidate mentioned","2015-08-07 09:54:24 -0700","Negative","NW Florida","Central Time (US & Canada)","RT @mydaughtersarmy: Dear GOP, If you want to stop abortions...   #GOPDebate  http://t.co/RbL1t4iPx6",1,1,"1",0.999999999996494,"1",0.977812455467692,"1",0.873863010539391,3,1,1
"60",60,60,"629697107566309376","Ted Cruz","2015-08-07 09:54:24 -0700","Positive","","","RT @KarrattiPaul: Join ISIS and sign your death warrant, Signed @tedcruz next President of the US<f3><U+00BE><U+0093><U+00A6>  #GOPDebate #WakeUpAmerica #CruzCrew htt…",1,3,"1",0.553825439431677,"3",0.742790671809649,"1",0.600028959183656,2,3,1
"61",61,61,"629697107201495040","No candidate mentioned","2015-08-07 09:54:24 -0700","Negative","Delaware","Eastern Time (US & Canada)","RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso",1,1,"1",0.999999999999889,"1",0.898882479244894,"1",0.863556301514566,3,1,1
"62",62,62,"629697105838383104","No candidate mentioned","2015-08-07 09:54:23 -0700","Negative","Florida,, usually","Eastern Time (US & Canada)","RT @AmyMek: Status <f0><U+009F><U+0091><U+0089> Single   I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.  #GOPDebate http://t.…",1,1,"1",0.999915883397743,"1",0.878564018170952,"1",0.853380518799166,3,1,1
"63",63,63,"629697105360240640","Donald Trump","2015-08-07 09:54:23 -0700","Positive"," NYC","Eastern Time (US & Canada)","RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.  After, only 3 saw him positively.  http://…",1,3,"1",0.529593751325847,"1",0.870806212538076,"1",0.840887419254077,3,1,1
"64",64,64,"629697105318117376","No candidate mentioned","2015-08-07 09:54:23 -0700","Positive","San Diego","Pacific Time (US & Canada)","RT @_Holly_Renee: Just made my first donation to @CarlyFiorina. So impressed by her #GOPDebate performance. #Fiorina http://t.co/JLfhFvZ7ST",3,3,"3",1,"3",0.972943453223499,"3",0.774100189529893,3,3,3
"65",65,65,"629697102982066176","No candidate mentioned","2015-08-07 09:54:23 -0700","Negative","","","RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate",1,1,"1",1,"1",0.940195685960589,"1",0.880346870500932,3,1,1
"69",69,69,"629697097973919744","Donald Trump","2015-08-07 09:54:22 -0700","Positive","Oxnerd, California","Arizona","RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.  And they vote.   That should scare eve…",1,3,"3",0.998340263819946,"1",0.917339616788324,"1",0.848750515408351,2,3,1
"70",70,70,"629697097885945856","Donald Trump","2015-08-07 09:54:21 -0700","Negative","Vatican City","","RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…",1,1,"1",1,"1",0.877470768069323,"1",0.84223156383739,3,1,1
"71",71,71,"629697097479155712","Donald Trump","2015-08-07 09:54:21 -0700","Negative","Pittsburgh, PA","Eastern Time (US & Canada)","Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",1,1,"1",1,"1",0.801650826360486,"1",0.79449510084716,3,1,1
"72",72,72,"629697097369923584","No candidate mentioned","2015-08-07 09:54:21 -0700","Negative","","","RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…",1,1,"1",0.999999999999986,"1",0.907156894853448,"1",0.869141374327289,3,1,1
"73",73,73,"629697094182416384","Jeb Bush","2015-08-07 09:54:21 -0700","Negative","TEXAS is the greatest state","Central Time (US & Canada)","RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""",1,1,"1",0.999999999989106,"1",0.877452700572056,"1",0.865949956490081,3,1,1
"74",74,74,"629697093880414208","No candidate mentioned","2015-08-07 09:54:21 -0700","Positive","Illinois, SW of Chicago","Central Time (US & Canada)","@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.",1,3,"3",0.999999970757209,"1",0.703829279004686,"1",0.75461320831362,2,3,1
"75",75,75,"629697091443531776","Donald Trump","2015-08-07 09:54:20 -0700","Negative","","Quito","The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",1,1,"1",0.999999999999918,"1",0.91846142961857,"1",0.849206250999631,3,1,1
"76",76,76,"629697088583004160","No candidate mentioned","2015-08-07 09:54:19 -0700","Positive","Walland, Tn","Eastern Time (US & Canada)","RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…",1,3,"3",1,"1",0.642642021342739,"1",0.611497213304951,2,3,1
"77",77,77,"629697087219707904","Donald Trump","2015-08-07 09:54:19 -0700","Negative","","","RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…",1,1,"1",0.99985736314103,"1",0.859338706330937,"1",0.888119528750335,3,1,1
"78",78,78,"629697086145982464","No candidate mentioned","2015-08-07 09:54:19 -0700","Negative","Holland, Michigan USA ","Eastern Time (US & Canada)","RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN",1,1,"1",1,"1",0.921370223937092,"1",0.864996782000004,3,1,1
"79",79,79,"629697080630468608","No candidate mentioned","2015-08-07 09:54:17 -0700","Negative","","","RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate",1,1,"1",1,"1",0.894920088291772,"1",0.883442634435787,3,1,1
"81",81,81,"629697076469891072","No candidate mentioned","2015-08-07 09:54:16 -0700","Negative","","Eastern Time (US & Canada)","RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …",1,1,"1",0.999978366078591,"1",0.878002191933128,"1",0.887366595717278,3,1,1
"82",82,82,"629697071113719808","No candidate mentioned","2015-08-07 09:54:15 -0700","Negative","Madison, NJ","Eastern Time (US & Canada)","Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.",1,1,"1",1,"1",0.959709496688701,"1",0.855387434682708,3,1,1
"83",83,83,"629697070757249024","No candidate mentioned","2015-08-07 09:54:15 -0700","Positive","","","RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY",3,3,"3",1,"3",0.999499828004249,"3",0.988449048395892,3,3,3
"84",84,84,"629697065057042432","Ted Cruz","2015-08-07 09:54:14 -0700","Positive","Arrington, TN","Eastern Time (US & Canada)","RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…",3,3,"3",1,"3",0.791291028349017,"1",0.621500914680316,2,3,3
"87",87,87,"629697053740912640","No candidate mentioned","2015-08-07 09:54:11 -0700","Negative","The District. ","Quito","They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP  http://t.co/ekXPfKtHQn",1,1,"1",1,"1",0.933333429161433,"1",0.883917605176769,3,1,1
"88",88,88,"629697053317173248","No candidate mentioned","2015-08-07 09:54:11 -0700","Negative","Southwest USA","","RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…",1,1,"1",1,"1",0.944341026319676,"1",0.868775392388747,3,1,1
"89",89,89,"629697052344123392","Donald Trump","2015-08-07 09:54:11 -0700","Negative","9/10th mile north Nowhere OK","","RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…",1,1,"1",0.998628770970606,"1",0.877495561807294,"1",0.83169942589551,3,1,1
"91",91,91,"629697046044237824","No candidate mentioned","2015-08-07 09:54:09 -0700","Positive","Stevens Point // DeKalb","Mountain Time (US & Canada)","Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate",1,3,"3",0.99971909273644,"1",0.543096271601637,"1",0.732916423140637,2,3,1
"92",92,92,"629697045742252032","No candidate mentioned","2015-08-07 09:54:09 -0700","Negative","Los Angeles","","RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…",1,1,"1",1,"1",0.934112712776938,"1",0.885994857367611,3,1,1
"93",93,93,"629697036363935744","No candidate mentioned","2015-08-07 09:54:07 -0700","Positive","","","RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR",1,3,"3",0.990294850401828,"1",0.872818457952785,"1",0.868095115918286,2,3,1
"94",94,94,"629697036258914304","No candidate mentioned","2015-08-07 09:54:07 -0700","Positive","Boise, Idaho","Mountain Time (US & Canada)","RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…",1,3,"3",0.999999995410842,"1",0.547780819767963,"1",0.631579473309505,2,3,1
"95",95,95,"629697034694565888","No candidate mentioned","2015-08-07 09:54:06 -0700","Negative","Washington, DC","Eastern Time (US & Canada)","RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…",1,1,"1",1,"1",0.909251675967992,"1",0.868523499554516,3,1,1
"96",96,96,"629697030869372928","Donald Trump","2015-08-07 09:54:06 -0700","Negative","191 Throckmorton St. Freehold","","RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj",1,1,"1",1,"1",0.894274436024126,"1",0.787770616181007,3,1,1
"98",98,98,"629697026955939840","No candidate mentioned","2015-08-07 09:54:05 -0700","Negative","Austin, Texas","","RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw",1,1,"1",0.999326606458052,"1",0.916875494649485,"1",0.882002292007331,3,1,1
"99",99,99,"629697026905653248","Marco Rubio","2015-08-07 09:54:05 -0700","Negative","lib utopia, with unicorns","Pacific Time (US & Canada)","RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…",1,1,"1",0.995454917355567,"1",0.68680580186969,"1",0.705517639187881,3,1,1
"100",100,100,"629697026054172672","Donald Trump","2015-08-07 09:54:04 -0700","Negative","Las Vegas, Nevada","America/Los_Angeles","RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…",1,1,"1",0.999999999983946,"1",0.815527403043393,"1",0.81217002974481,3,1,1
"102",102,102,"629697023877341184","No candidate mentioned","2015-08-07 09:54:04 -0700","Positive","","Mountain Time (US & Canada)","Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP",3,3,"3",0.999876757665821,"3",0.792106720463922,"3",0.572523764718897,3,3,3
"103",103,103,"629697023663546368","Donald Trump","2015-08-07 09:54:04 -0700","Negative","","","RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …",1,1,"1",0.999999999999999,"1",0.952912199490927,"1",0.915640815554583,3,1,1
"104",104,104,"629697022866493440","No candidate mentioned","2015-08-07 09:54:04 -0700","Negative","","Mountain Time (US & Canada)","RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…",1,1,"1",1,"1",0.923381647416754,"1",0.876094077610727,3,1,1
"106",106,106,"629697014922526720","No candidate mentioned","2015-08-07 09:54:02 -0700","Negative","Los Angeles","Pacific Time (US & Canada)","RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT",1,1,"1",1,"1",0.91591063326524,"1",0.881904117659117,3,1,1
"107",107,107,"629697014557769728","John Kasich","2015-08-07 09:54:02 -0700","Positive","","Central Time (US & Canada)","RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",3,3,"3",0.999999779984578,"3",0.815920855722623,"3",0.646211989786148,3,3,3
"108",108,108,"629697014494822400","No candidate mentioned","2015-08-07 09:54:02 -0700","Positive","USA","Eastern Time (US & Canada)","Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate",1,3,"3",1,"1",0.852596387194211,"1",0.868487947333809,2,3,1
"110",110,110,"629697012510789632","Donald Trump","2015-08-07 09:54:01 -0700","Negative","Earth","Mountain Time (US & Canada)","Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate",1,1,"1",0.999999656288668,"1",0.877576217995342,"1",0.869906851788203,3,1,1
