"","id","text","sentiment"
"36",36,"RT @OccupyWallStNYC: All evidence suggests the Trump campaign is lying about manhandling a reporter #GOPDebate https://t.co/sBgmYtKRMg http…","Negative"
"37",37,"RT @USAforTrump2016: CNN Republican Debate TONIGHT! 8:30pm! Tune in and support @realDonaldTrump #TrumpTrain #TeamTrump #Trump #GOPDebate #…","Positive"
"38",38,"Maybe we will be lucky and Trump will talk about his weiner again tonight. #GOPDebate #CNNDebate","Negative"
"39",39,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"40",40,"Yup ... CNN just used a @HouseofCards quote ahead of #GOPDebate re: Trump. ""Public opinion doesn't have a law degree.""","Neutral"
"41",41,"RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…","Positive"
"42",42,"Bottom line   Trump won Michigan by over 160K votes! No glory in 2nd or 3rd in a 3 1/2 man race! #GOPdebate  https://t.co/tUpmtUMMx1","Positive"
"43",43,"RT @awzurcher: Who is going to take a metaphorical bat to Trump tonight at the #GOPDebate in Florida? https://t.co/RzhY0LzyiM","Negative"
"44",44,"All out war tonight on the #GOPDebate.CNN is VERY biased and favors the DNC. Trump will be attacked. No relevant questions   just biased crap","Neutral"
"45",45,"RT @livenewscloud: Who is your choice for President of the United States? #Election2016 #GOPDebate #Trump #HillaryClinton #FeelTheBern","Neutral"
"46",46,"RT @WayneDupreeShow: Caller 5  from NY- I voted for Bill Clinton   now I am switching to Trump Call in ? 202 470 6738 https://t.co/cSgpDM…","Positive"
"47",47,"RT @immigrant4trump: ?Trump = ACCOMPLISHED BUSINESSMAN ?Hillary= ACCOMPLISHED CRIMINAL ?https://t.co/CnYQ1FC8KF  #Trump2016 #GopDebate htt…","Positive"
"48",48,"OHHHH Anderson....you could broadcast Bernie or Hillary but you don't. You have TRUMP on b/c of the FECES THROWING he provides #GOPDebate","Negative"
"49",49,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"50",50,"RT @scottienhughes: Serious last night but smiling as today is #GOPDebate day Miami! Will #Trump get 2 talk policy? @wolfblitzer @CNN https…","Neutral"
"51",51,"#Trump is moving like an old man. #GOPDebate","Negative"
"52",52,"RT @VickiGP1: …Malignant And Psychopathic… Donald Trump? Expert Studies 600 Hours Of #Trump Footage #GOPDebate #FLPrimary   https://t.co/Im…","Negative"
"53",53,"RT @Saint_Obama: So in Donald Trump's world it's ok to harass & bruise reporters because you think they are not friendly to your campaign? ","Negative"
"54",54,"RT @ChristiChat: Shame on #MittRomney! His actions made his wife look like an ass #Trump2016 #GOPDebate #TCOT https://t.co/KMH8N09MkT","Positive"
"55",55,"RT @darth: candidates all backstage feasting on trump steaks and drinking trump wine rn #GOPDebate","Neutral"
"56",56,"RT @JessicaChasmar: Whether the ""yank"" happened or not   #Trump has condoned violence at his rallies and needs to be confronted on it tonigh…","Negative"
"57",57,"So in Donald Trump's world it's ok to harass & bruise reporters because you think they are not friendly to your campaign? Really? #GOPdebate","Negative"
"58",58,"RT @whignewtons: Trump only candidate who doesn't bow his head or close his eyes for moment of silence for Nancy Reagan. #GOPDebate","Negative"
"59",59,"Donald Trump will destroy the competition tonight in the #GOPDebate on @CNN . Its obvious that he is the nominee okay @MittRomney","Positive"
"60",60,"RT @nepafortrump: @DanScavino @realDonaldTrump GET YOUR TICKETS (VIP Seating SOLD OUT) #GOPDebate #TeamTrumpPA https://t.co/cAjemldxaM http…","Positive"
"61",61,"RT @tgradous: #Trump Has The Lowest Favorability Ratings EVER For a Frontrunner https://t.co/HDXsoYyS5o… #GOPDebate #NeverTrump https://t.c…","Negative"
"62",62,"RT @Terrence_CFP: Video: Black Man Punched In Face At #Trump Rally https://t.co/m5txOWWIDr via @thinkprogress #GOPDebate","Negative"
"63",63,"#GOPDebate Trump's or Drumph's rallies are getting way to alike with what went on in Nuremberg!","Negative"
"64",64,"Trump is already pissed. #GOPDebate","Neutral"
"65",65,"What are the odds Trump shows up for tonight's #GOPDebate as a hundred foot hologram on a throne?","Negative"
"66",66,"RT @GottaLaff: #GOPDebate Moment of silence for Nancy Reagan: #Trump kept his eyes open   saw others had theirs closed   closed his   opened t…","Negative"
"67",67,"RT @WayneDupreeShow: Caller 5  from Pittsburgh -Close to 50K have switched to GOP to support Trump Call in ? 202 470 6738 https://t.co/cS…","Positive"
"68",68,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"69",69,"RT @igorvolsky: Trump vows to repeal Obamacare   which means 129 million Americans with pre-existing conditions could lose their coverage #G…","Negative"
"70",70,"RT @MissMandi00: Should we take bets on which #Trump shows up tonight? The milder version or the whiney   got his panties in a knot version!…","Negative"
"71",71,"RT @mVespa1: So   is anyone going to ask Trump about this tonight? https://t.co/DsS6uQCnAi #tcot #GOPdebate","Neutral"
"72",72,"RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw",""
"73",73,"RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel","Negative"
"74",74,"RT @VickiGP1: Donald #Trump broke anti-discrimination laws to keep a mob boss gambling at his casinos   fined #200  000 #GOPDebate  https://t…","Negative"
"75",75,"RT @cheapshot89: Cartoon of the Day 3/4/16: #GOPDebate #Trump2016 #Trump #GOP @realDonaldTrump https://t.co/cOPhHhE9NO","Positive"
"76",76,"RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel","Negative"
"77",77,"Trump opened his eyes in the middle of the moment of silence.  REAGAN HATER CONFIRMED.  #GOPDebate","Negative"
"78",78,"RT @AllyGeighter: Not watching this one. Can't stand sound of Trump's little voice coming out of that little fish mouth as he waves his tin…","Negative"
"79",79,"RT @immigrant4trump: Florida Vote For Trump ""March 15"" #FLPrimary #FloridaPrimary #Trump2016 #GOPDebate #AlwaysTrump Watch Video: https://t…","Positive"
"80",80,"So RNC is embracing Trump's inevitability? Priebus stating lets agree whoever the nominee is   we all support him. #GOPDebate","Positive"
"81",81,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"82",82,"RT @JamesPindell: Just heard @JohnKingCNN say ""enormous steaks."" I guess we are still talking about Trump products #GOPDebate","Negative"
"83",83,"RT @jiadarola: If they want to one up all the dick talk from the last #GOPDebate we're gonna need info on Trump's taint.","Negative"
"84",84,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"85",85,"Donald Trump is literally inspiring heavy drug users to get clean #GOPDebate #TrumpTrain  https://t.co/iUrcgq2zkw","Positive"
"86",86,"Trump cannot stand still during the moment of silence for Nancy Reagan. He may ACTUALLY be a 1st grader. #GOPDebate","Negative"
"87",87,"Republican debate is NOT ""breaking news  "" CNN. Make Trump news media's president   and then we get who we want. #trdebates #GOPDebate","Positive"
"88",88,"RT @DbSassssa: Donald Trump is unstoppable #VoteTrump #GOPDebate https://t.co/5NOKsVnseR","Positive"
"89",89,"RT @ameripundit: So   who has the stomach to watch another Trump-bashing cage match tonight? 8:30 EST CNN  #GOPDebate https://t.co/oyxNz4G4Xa","Neutral"
"90",90,"RT @AnyoneButDTrump: Trump's strategy for the #GOPDebate tonight: https://t.co/mNAobeY7d9","Negative"
"91",91,"RT @WayneDupreeShow: Caller 24 from ARK  - CAIR news conf today was establishment hit on Trump Call in ? 202 470 6738 https://t.co/cSgpDM…","Neutral"
"92",92,"The Real Donald Trump #GOPDebate #FloridaPrimary #Florida  https://t.co/8h4xI78FYF","Neutral"
"93",93,"Crazy stupid Racist trump supporters compilation @youTube https://t.co/pOeNeZXW5A @realDonaldTrump Koolaid Drinker #GOPdebate #CNN #MTV","Negative"
"94",94,"RT @Trump2016Donald: Trump signs EVERYWHERE in Ohio! #OHPrimary #OhioPrimary #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #GOPDebate https…","Positive"
"95",95,"RT @9a1e6c8a99984e2: Not A Single One Of @realDonaldTrump 75 Statements Fact Checked Hey  #Trump Stop Lying Man ! #GOPDebate ? #DemDebate h…","Negative"
"96",96,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…","Positive"
"97",97,"RT @scottienhughes: Serious last night but smiling as today is #GOPDebate day Miami! Will #Trump get 2 talk policy? @wolfblitzer @CNN https…","Neutral"
"98",98,"Back-to-back Anti-Trump ads? Where was this in 2015? #GOPDebate","Neutral"
"99",99,"RT @USAforTrump2016: CNN Republican Debate TONIGHT! 8:30pm! Tune in and support @realDonaldTrump #TrumpTrain #TeamTrump #Trump #GOPDebate #…","Positive"
"100",100,"RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel","Negative"
"101",101,"If Trump is the nominee    I know a lot of folks    including myself    that will LEAVE the GOP to become independents!! #GOPDebate","Negative"
"102",102,"RT @immigrant4trump: MSM always showing Trump Protesters  but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…",""
"103",103,"RT @jiadarola: So is Donald Trump going to pay for that racist's court costs? #GOPDebate","Negative"
"104",104,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"105",105,"RT @immigrant4trump: The American people are DONE with career politicians VOTE FOR TRUMP! #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…","Positive"
"106",106,"RT @WesleyRickard: Representative Jim Carns AL Endorses Donald J Trump for President of the United #FL #GOPDebate #OH #IL #CPAC #ccot https…","Positive"
"107",107,"RT @toddstarnes: In fairness Trump may have thought the other candidates were bowing their heads out of reverence to him. #GOPDebate","Negative"
"108",108,"RT @ACBadBeat: Der Furher #Trump has not yet tweeted today. Maybe he's studying for #GOPDebate at #TrumpUniversity (Idiot!)  #NeverTrump","Negative"
"109",109,"RT @NumbersMuncher: Jake Tapper currently explaining the rules of the #GOPDebate as if anyone is going to make sure Donald Trump actually h…","Negative"
"110",110,"RT @voteTrumpyes: It's almost Time for the #GOPDebate!! Donald Trump will have a Great Night!! #VoteTrump https://t.co/twBuToDKkO","Positive"
"111",111,"GOP chairman takes all the teeth out of any trump criticism before the debate even starts #GOPDebate","Positive"
"112",112,"Trump talked about his genitalia in the last #GOPDebate. I wonder what's gonna happen tonight","Negative"
"113",113,"Watching tonight's #GOPDebate? Hear what Trump's AZ campaign chairman said about ISIS/U.S.-Mexico border... https://t.co/NZbROjqN5C #abc15","Neutral"
"114",114,"RT @VickiGP1: Donald #Trump broke anti-discrimination laws to keep a mob boss gambling at his casinos   fined #200  000 #GOPDebate  https://t…","Negative"
"115",115,"Trump should be asked if he will fire his campaign manager in the #GOPDebate","Negative"
"116",116,"The Buck Stops . . . Over There. Like Obama   Trump Always Blames Others. https://t.co/7FPYw9PVtM #gopdebate","Negative"
"117",117,"RT @WomanVote: #GOPDebate @thehill #Trump has a pattern of HATE! #GOP #No2KKK #FireWallHate #USlatino #BlackVote #Youth Response -> https:/…","Negative"
"118",118,"I will not support Donald Trump. Sorry not sorry @Reince #GOPDebate","Negative"
"119",119,"How many times will TRUMP TALK ABOUT HIS DICK SIZE????  #GOPDebate","Negative"
"120",120,"RT @eScarry: Anderson Cooper says there are ""Enormous steaks"" tonight   presumably referring to Trump Steaks. #GOPDebate","Negative"
"121",121,"RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel","Negative"
"122",122,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…","Positive"
"123",123,"RT @Veteran4Trump: Herschel Walker - Shut Up to @MittRomney ... You're a Loser!  ""Trump will save America"" https://t.co/z2l0QNxhBw #AlwaysT…","Positive"
"124",124,"@realDonaldTrump STRATEGY 4 2Nites debate: BE VERY PRESIDENTIAL&DEBATE ON ISSUES! Don't stoop to their level or take bait. #TRUMP #GOPDEBATE","Positive"
"125",125,"RT @pattonoswalt: Six minutes. Six minutes. Six minutes   Douch-ey Trump   you're on. #GOPDebate","Negative"
"126",126,"RT @tgradous: Donald Trump Stiffed Casio Builders While Spending ?1 Million https://t.co/jKq6e5WJ6f #GOPDebate #NeverTrump https://t.co/uw…","Negative"
"127",127,"RT @Ward4Anderson: According to a recent report #Republicans contribute to veterans suicides! @SpeakerRyan #Trump #GOPDebate  https://t.co/…","Neutral"
"128",128,"I don't believe a word #Reince has to say #Trump has been loyal to his pledge #GOP has betrayed us!#GOPDebate #CNN https://t.co/4T6wYTKae4","Positive"
"129",129,"RT @RedheadAndRight: Trump must be thinking   not another meaningless   biased debate. Mr. Trump   we feel for you. #GOPDebate @realDonaldTrump","Positive"
"130",130,"RT @KyleKulinski: The comically ignorant Trump supporter who called the KKK a 'leftist terrorist organization' is still on CNN. #GOPDebate","Negative"
"131",131,"It's hard to talk to Trump on the issues #CNN... He doesn't have any substantial ones. #GOPDebate","Negative"
"132",132,"RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo…","Positive"
"133",133,"RT @Chamberlain1973: Bush Family Member Endorses #TedCruz! #FLPrimary #ILPrimary #MOPrimary #NCPrimary #OHPrimary #GOPDebate #VOAV https://…","Positive"
"134",134,"RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?","Negative"
"135",135,"RT @Chamberlain1973: Bush Family Member Endorses #TedCruz! #FLPrimary #ILPrimary #MOPrimary #NCPrimary #OHPrimary #GOPDebate #VOAV  https:/…","Positive"
"136",136,"RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo…","Positive"
"137",137,"RT @Notnow71: Even though Cruz looks & sounds like Jim Jones nobody drinks his kool aid except for the zealots #GOPDebate  https://t.co/flr…","Negative"
"138",138,"My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/zPgA1X7ko1","Positive"
"139",139,"#Disturbing!!!! Watch Ted Cruz coach his family through a campaign ad shoot. #CruzCrew #TedCruz #GOPDebate https://t.co/MJHmfDgudG","Negative"
"140",140,"RT @ImAmandaNelson: Hi Mr. Cruz when you're elected are the Handmaids going to be required to wear red because that clashes with my complex…","Negative"
"141",141,"RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt…","Positive"
"142",142,"RT @Dannerism: TONIGHT: Cruz missile vs Bronx cheerleader #GOPDebate .@qnoftherealm @zoumrouda @tracieeeeee @RedNationRising @RNRTexas @ate…","Positive"
"143",143,"RT @TFinn82: Thing with watching Cruz debate   I never worry that he'll say something stupid. :) #GOPDebate","Positive"
"144",144,"RT @NARAL: Ted Cruz has touted his commitment to the Constitution   but wants to deny women their constitutional right to an abortion. #GOPD…","Negative"
"145",145,"RT @ImAmandaNelson: Hi Mr. Cruz when you're elected are the Handmaids going to be required to wear red because that clashes with my complex…","Negative"
"146",146,"RT @Elisabeth242: Looks like Ted Cruz Is BEST!! #GOPDebate https://t.co/zBWqGsJIKR","Positive"
"147",147,"RT @TheDailyEdge: Ted Cruz: I will defend your rights to discriminate against gays. Gays are the real terrorists #GOPDebate https://t.co/di…","Negative"
"148",148,"Why no Canadian national anthem for Ted Cruz tho? ???????? #GOPDebate","Negative"
"149",149,"RT @ReutersLive: LIVE: Ted Cruz campaigns in Miami ahead of #GOPDebate. https://t.co/CCjw12RrUm https://t.co/zAJjgPe0zG","Neutral"
"150",150,"#GOPDebate Cruz said everything but the 47%","Negative"
"151",151,"RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt…","Positive"
"152",152,"RT @weeklystandard: .@tedcruz says Americans ""are interested in solutions   not slogans."" https://t.co/bWrSUaTm9q #gopdebate https://t.co/SU…","Positive"
"153",153,"RT @peddoc63: My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/…","Positive"
"154",154,"RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?","Negative"
"155",155,"#GOPDebate Forina pushing the VAT pushing Cruz. Both a corporation wrecker. Look at that Face. Follow her over a cliff at your own risk","Neutral"
"156",156,"RT @ameripundit: POLL: Will Ted Cruz have another 'booger' in his nose during tonight's CNN-hosted #GOPDebate?","Negative"
"157",157,"RT @Liampcahill: When I hear Ted Cruz talk #GOPDebate https://t.co/z87Hw7eb4L","Negative"
"158",158,"RT @N1K0LAK1: #Disturbing!!!! Watch Ted Cruz coach his family through a campaign ad shoot. #CruzCrew #TedCruz #GOPDebate https://t.co/MJHmf…","Negative"
"159",159,"RT @ReutersLive: LIVE: Ted Cruz campaigns in Miami ahead of #GOPDebate. https://t.co/CCjw12RrUm https://t.co/zAJjgPe0zG","Neutral"
"160",160,"This show of patriotism opening the #gopdebate seems weird considering these candidates (except maybe Kasich)","Positive"
"161",161,"RT @JohnKasich: There's no substitute for nat'l security experience in a Commander-in-Chief. Gov Kasich has 18 yrs of it. #GOPDebate https:…","Positive"
"162",162,"RT @NBCNews: The Lid: Can @JohnKasich handle the heat at tonight's #GOPDebate?https://t.co/1JJgdmguwP https://t.co/F3yVtHqmOL","Negative"
"163",163,"Kasich's heart is dropping a little low ? #GOPDebate","Negative"
"164",164,"Kasich has a good chance to secure the nomination tonight. #GOPDebate","Positive"
"165",165,"Kasich got a hair cut. #GOPDebate","Neutral"
"166",166,"RT @KyleKulinski: Without Anderson Cooper hosting how will I know which Pokemon is Kasich's favorite? #GOPDebate","Neutral"
"167",167,"RT @bpolitics: Here's a closer look at John Kasich's resume https://t.co/U9BjXk71zw #GOPDebate","Neutral"
"168",168,"@KrystalPistolKP maybe #Kasich will become more aggressive tonight  #GOPDebate","Neutral"
"169",169,"Is #Kasich going to be designated driver again tonight? #GOPDebate","Positive"
"170",170,"4 reasons Kasich wins the #GOP nomination https://t.co/PezQI7FyOT #GOPDebate","Positive"
"171",171,"RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. #GOPdebate #FLprimary https://t.…","Negative"
"172",172,"RT @sueinphilly: This will be the last time we see Rubio at #GOPDebate Bye #inners","Negative"
"173",173,"@marcorubio just needs to be Marco Rubio in the debate tonight   be the person everyone knows. ##GOPDebate","Positive"
"174",174,"Just googled Rubio's Bio   if he doesn't win Florida   he will be gone for sure. #GOPDebate","Neutral"
"175",175,"RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco. #GOPdebate #FLprimary https://t.…","Negative"
"176",176,"RT @FiveThirtyEight: It hasn't done him much good   but Rubio has a clear lead in endorsements. https://t.co/4Xuserzcmv #GOPDebate","Positive"
"177",177,"RT @KyleKulinski: Anderson Cooper just said it's ""make or break   do or die"" for Marco Rubio tonight. No   that was like a month ago. Already…","Negative"
"178",178,"RT @tedbishop38pga: @CNN Marco Rubio only candidate who shook no one's hand. #GOPDebate","Negative"
"179",179,"Rubio I'm really sorry I made the Donald mad -- please forgive me   please   please   please #GOPDebate @marcorubio  https://t.co/XaBRkSKKki","Negative"
"180",180,"The crowd seems to be mildly pro-Rubio #GOPDebate","Positive"
"181",181,"business: RT BloombergTV: How MarcoRubio became Florida's not-so-favorite son https://t.co/fMEeEaWpdM #GOPdebate https://t.co/PmY6ZqmMze","Negative"
"182",182,"Rubio gets by far the loudest cheer here at the Univ of Miami. Not surprising considering this is his backyard. #GOPdebate","Positive"
"183",183,"RT @marcorubio: Get ready Hialeah: come rally w/ me tonight before the next #GOPDebate! Space is limited   RSVP now: https://t.co/FlA1DB4H3S…","Neutral"
"184",184,"RT @sierraclub: ICYMI: Newsweek -- ""South Florida Is Sinking. Where Is Marco Rubio?"" https://t.co/A2Nq2vRcWr | #GOPDebate | Answer: AWOL","Negative"
"185",185,"RT @LawlessPirate: Rubio is like   ""what am I even doing up here?"" #GOPDebate","Negative"
"186",186,"RT @guypbenson: Rubio crowd in South Florida. #GOPDebate","Positive"
"187",187,"RT @MDGallar: Rubio's campaign is so impulsive it's hard to describe   but I think this sums up his strategy. #GOPdebate #FLprimary https://…","Negative"
"188",188,"In tonight's #GOPDebate I look for the following. Rubio's desperate engagement of all three other candidates.... https://t.co/wzbiFqzOJg","Negative"
"189",189,"We're live today at the University of Miami. Next we talk w/ Rubio supporter @NinoskaPerezC on tonight's #GOPDebate https://t.co/Zkrz5LZnb8","Neutral"
"190",1,"RT @steph93065: These people are a joke. Donald Trump is the only authentic candidate ?? #Trump2016 #GOPDebate @CarmineZozzora","Positive"
"191",2,"Trump fans applaud their hero's ""tough talk"" but get offended when I do same on Twitter. Sad. #NeverTrump #GOPDebate","Negative"
"192",3,"RT @LucyStag: It's genuinely skin-crawling how Trump refuses to say that his supporters shouldn't be violent. #gopdebate","Negative"
"193",4,"RT @TheValuesVoter: @VOICEOFCHID Asking Trump a detailed question is like asking Stevie Wonder ""What color is this dress?"" #GOPDebate https…","Negative"
"194",5,"RT @KatiePavlich: Palestinian terrorists/Authority celebrated the murder of American Taylor Force in the streets  Trump wants to negotiate …","Negative"
"195",6,"RT @thehill: Trump: I use visas that are ""very bad"" for American workers https://t.co/p8wUCnEfm0 #GOPdebate https://t.co/IL2KSc0HVV","Negative"
"196",7,"Trump is campaigning for his sister for SCOTUS in his closing remarks. #GOPDebate","Neutral"
"197",8,"RT @dawngpsalm63: #CNNDebate #GOPDebate #Cruz #NAU #Florida #Ohio #Primary Watch VIP ?????????????? https://t.co/1JOlEbOl14","Neutral"
"198",9,"RT @USATODAY: Trump: We'll build factories here and make our own products. That's the way it should be done. #GOPDebate","Neutral"
"199",10,"RT @HEELZiggler: No matter what points Cruz makes  he just comes off as a hall monitor  who tells the teacher who was bad  while she was ou…","Negative"
"200",11,"RT @frogmorton: I'd be OK if Trump outlawed all hooting  and possibly all hollering. #GOPDebate","Neutral"
"201",12,"RT @mrctv: WATCH: Sen. Ted Cruz calls for ObamaCare repeal in closing statement. #TTT16 GOPDebate https://t.co/loCfR4Ssd4","Neutral"
